id,direction,signal_time,entry_time,exit_time,outcome,entry,stop,exit,risk,net_pnl,commission
1,BUY,2024-01-01 18:00,2024-01-01 19:00,2024-01-02 21:00,time,43111.10,42803.64,44788.27,307.46,531.20,14.29
2,SELL,2024-01-03 11:00,2024-01-03 12:00,2024-01-04 13:00,time,43702.89,44290.65,43378.11,587.76,50.39,7.80
3,BUY,2024-01-07 13:00,2024-01-07 14:00,2024-01-07 15:00,sl,44409.31,44092.37,44092.37,316.94,-120.59,14.77
4,SELL,2024-01-08 02:00,2024-01-08 03:00,2024-01-08 06:00,sl,43371.09,43777.25,43777.25,406.16,-115.83,11.22
5,BUY,2024-01-08 12:00,2024-01-08 13:00,2024-01-09 13:00,time,45111.10,44554.51,46166.36,556.59,187.65,8.48
6,BUY,2024-01-11 14:00,2024-01-11 15:00,2024-01-11 15:00,sl,48571.21,47579.68,47579.68,991.53,,
7,SELL,2024-01-12 15:00,2024-01-12 16:00,2024-01-15 14:00,time,44462.00,45101.88,42852.55,639.88,257.68,7.18
8,SELL,2024-01-18 16:00,2024-01-18 17:00,2024-01-19 19:00,time,41948.99,42294.39,41808.08,345.40,30.93,13.08
9,SELL,2024-01-22 01:00,2024-01-22 02:00,2024-01-24 00:00,time,41363.38,41583.13,39897.59,219.75,701.63,20.00
10,BUY,2024-01-26 10:00,2024-01-26 11:00,2024-01-27 09:00,time,40692.64,40344.13,41470.01,348.51,243.39,13.58
11,BUY,2024-01-28 04:00,2024-01-28 05:00,2024-01-28 05:00,sl,42720.33,42480.28,42480.28,240.05,,
12,BUY,2024-01-29 16:00,2024-01-29 17:00,2024-01-30 23:00,sl,43200.01,42754.54,42754.54,445.47,-128.87,11.34
13,SELL,2024-01-31 10:00,2024-01-31 11:00,2024-01-31 13:00,sl,42384.72,42773.33,42773.33,388.61,-128.98,12.74
14,SELL,2024-02-01 01:00,2024-02-01 02:00,2024-02-01 14:00,sl,41983.54,42548.87,42548.87,565.33,-123.55,8.59
15,SELL,2024-02-04 06:00,2024-02-04 07:00,2024-02-04 09:00,sl,42746.13,42916.37,42916.37,170.24,-142.33,28.61
16,SELL,2024-02-04 19:00,2024-02-04 20:00,2024-02-04 20:00,sl,42636.43,42826.24,42826.24,189.81,,
17,BUY,2024-02-05 13:00,2024-02-05 14:00,2024-02-05 15:00,sl,43447.67,43082.94,43082.94,364.73,-125.48,13.31
18,BUY,2024-02-07 20:00,2024-02-07 21:00,2024-02-10 11:00,time,44131.37,43775.89,46884.22,355.48,844.75,14.20
19,BUY,2024-02-11 03:00,2024-02-11 04:00,2024-02-11 07:00,sl,48519.60,48100.99,48100.99,418.61,-133.14,13.78
20,BUY,2024-02-12 15:00,2024-02-12 16:00,2024-02-12 16:00,sl,49917.80,49389.17,49389.17,528.63,,
21,BUY,2024-02-14 08:00,2024-02-14 09:00,2024-02-15 22:00,time,50758.00,50092.84,51327.27,665.16,91.91,9.05
22,SELL,2024-02-17 13:00,2024-02-17 14:00,2024-02-17 20:00,sl,51188.80,51484.57,51484.57,295.77,-139.53,20.64
23,BUY,2024-02-18 22:00,2024-02-18 23:00,2024-02-19 16:00,sl,52239.79,51892.36,51892.36,347.43,-135.11,17.61
24,BUY,2024-02-20 13:00,2024-02-20 14:00,2024-02-20 14:00,sl,52840.14,52414.09,52414.09,426.05,,
25,BUY,2024-02-24 17:00,2024-02-24 18:00,2024-02-25 17:00,time,51533.99,51261.32,51378.49,272.67,-88.10,21.91
26,SELL,2024-02-26 09:00,2024-02-26 10:00,2024-02-26 13:00,sl,50950.00,51248.75,51248.75,298.75,-134.90,19.70
27,BUY,2024-02-26 15:00,2024-02-26 16:00,2024-02-29 18:00,time,52842.33,52444.15,60982.35,398.18,2311.10,16.27
28,BUY,2024-03-03 16:00,2024-03-03 17:00,2024-03-04 00:00,sl,62845.14,62360.32,62360.32,484.82,-154.64,17.68
29,BUY,2024-03-04 08:00,2024-03-04 09:00,2024-03-05 17:00,sl,65241.08,64374.75,64374.75,866.33,-145.54,10.13
30,SELL,2024-03-05 19:00,2024-03-05 20:00,2024-03-05 21:00,sl,61410.98,63632.78,63632.78,2221.80,-137.73,3.77
31,BUY,2024-03-08 14:00,2024-03-08 15:00,2024-03-08 15:00,sl,68422.00,67735.84,67735.84,686.16,,
32,BUY,2024-03-10 04:00,2024-03-10 05:00,2024-03-10 14:00,sl,69403.82,68955.28,68955.28,448.54,-152.95,20.44
33,BUY,2024-03-11 07:00,2024-03-11 08:00,2024-03-12 17:00,time,71019.99,70046.51,70507.38,973.48,-78.49,9.52
34,SELL,2024-03-14 15:00,2024-03-14 16:00,2024-03-15 00:00,sl,70844.00,71767.48,71767.48,923.48,-140.25,10.05
35,SELL,2024-03-16 21:00,2024-03-16 22:00,2024-03-17 10:00,sl,66243.29,67166.13,67166.13,922.84,-138.11,9.31
36,SELL,2024-03-19 01:00,2024-03-19 02:00,2024-03-20 19:00,time,65851.60,66967.47,65414.93,1115.87,42.37,7.49
37,BUY,2024-03-20 20:00,2024-03-20 21:00,2024-03-21 18:00,time,67057.56,65312.34,65724.99,1745.22,-102.47,4.86
38,SELL,2024-03-22 13:00,2024-03-22 14:00,2024-03-22 15:00,sl,63058.61,64132.41,64132.41,1073.80,-134.32,7.51
39,BUY,2024-03-24 22:00,2024-03-24 23:00,2024-03-29 06:00,time,66951.26,66153.23,70180.71,798.03,496.97,10.78
40,SELL,2024-03-29 15:00,2024-03-29 16:00,2024-03-29 22:00,sl,69179.99,69812.03,69812.03,632.04,-144.78,14.34
41,SELL,2024-04-01 05:00,2024-04-01 06:00,2024-04-01 07:00,sl,69167.47,69725.35,69725.35,557.88,-145.05,16.06
42,SELL,2024-04-01 15:00,2024-04-01 16:00,2024-04-01 18:00,sl,68237.15,68975.09,68975.09,737.94,-139.40,11.86
43,SELL,2024-04-02 02:00,2024-04-02 03:00,2024-04-03 05:00,time,66996.01,67977.61,66320.41,981.60,78.26,8.57
44,BUY,2024-04-04 13:00,2024-04-04 14:00,2024-04-05 05:00,sl,67242.14,66581.12,66581.12,661.02,-139.78,12.85
45,BUY,2024-04-06 22:00,2024-04-06 23:00,2024-04-09 07:00,time,69056.00,68590.64,70765.70,465.36,442.34,18.86
46,BUY,2024-04-10 22:00,2024-04-10 23:00,2024-04-11 14:00,sl,70528.00,69624.20,69624.20,903.80,-140.03,10.08
47,SELL,2024-04-12 14:00,2024-04-12 15:00,2024-04-14 23:00,time,69270.02,69905.77,65330.29,635.75,783.05,13.61
48,BUY,2024-04-15 06:00,2024-04-15 07:00,2024-04-15 14:00,sl,66463.63,65286.60,65286.60,1177.03,-144.02,7.63
49,SELL,2024-04-17 15:00,2024-04-17 16:00,2024-04-17 17:00,sl,60304.95,61358.19,61358.19,1053.24,-142.74,7.79
50,BUY,2024-04-22 05:00,2024-04-22 06:00,2024-04-22 12:00,sl,66377.99,65649.17,65649.17,728.82,-145.61,12.09
51,SELL,2024-04-24 14:00,2024-04-24 15:00,2024-04-25 18:00,time,65234.86,65808.50,64703.99,573.64,107.26,14.96
52,SELL,2024-04-27 01:00,2024-04-27 02:00,2024-04-27 14:00,sl,62593.28,63331.72,63331.72,738.44,-144.49,11.35
53,SELL,2024-04-29 03:00,2024-04-29 04:00,2024-04-29 14:00,sl,62279.68,62792.69,62792.69,513.01,-147.74,16.05
54,BUY,2024-04-30 00:00,2024-04-30 01:00,2024-04-30 01:00,sl,64579.99,63804.80,63804.80,775.19,,
55,SELL,2024-04-30 19:00,2024-04-30 20:00,2024-04-30 21:00,sl,59292.95,60320.72,60320.72,1027.77,-137.73,7.57
56,SELL,2024-05-01 07:00,2024-05-01 08:00,2024-05-01 18:00,sl,57500.00,58607.49,58607.49,1107.49,-135.53,6.75
57,BUY,2024-05-03 12:00,2024-05-03 13:00,2024-05-06 13:00,time,60641.00,59856.89,63593.99,784.11,469.79,10.09
58,SELL,2024-05-07 23:00,2024-05-08 00:00,2024-05-09 16:00,time,62312.07,63048.02,62159.06,735.95,16.30,11.17
59,BUY,2024-05-09 22:00,2024-05-09 23:00,2024-05-10 14:00,sl,63280.46,62542.02,62542.02,738.44,-143.56,11.27
60,BUY,2024-05-13 07:00,2024-05-13 08:00,2024-05-14 06:00,sl,62334.36,61765.19,61765.19,569.17,-145.12,14.27
61,BUY,2024-05-15 12:00,2024-05-15 13:00,2024-05-16 15:00,time,63757.57,63143.35,65598.70,614.22,374.25,13.63
62,BUY,2024-05-17 15:00,2024-05-17 16:00,2024-05-17 18:00,sl,67195.09,66556.31,66556.31,638.78,-147.08,13.94
63,SELL,2024-05-19 19:00,2024-05-19 20:00,2024-05-20 01:00,sl,66034.01,66515.73,66515.73,481.72,-149.79,18.12
64,BUY,2024-05-20 16:00,2024-05-20 17:00,2024-05-21 16:00,time,68190.06,67572.92,69827.00,617.14,330.73,14.56
65,SELL,2024-05-23 13:00,2024-05-23 14:00,2024-05-24 16:00,time,68036.14,68766.79,68326.46,730.65,-65.49,12.46
66,SELL,2024-05-26 21:00,2024-05-26 22:00,2024-05-27 01:00,sl,68518.02,68922.66,68922.66,404.64,-155.38,22.56
67,BUY,2024-05-27 15:00,2024-05-27 16:00,2024-05-27 19:00,sl,70373.86,69799.57,69799.57,574.29,-147.29,16.02
68,BUY,2024-05-30 17:00,2024-05-30 18:00,2024-05-30 19:00,sl,69315.10,68684.27,68684.27,630.83,-144.00,14.20
69,BUY,2024-06-02 11:00,2024-06-02 12:00,2024-06-02 12:00,sl,68251.53,67966.26,67966.26,285.27,,
70,BUY,2024-06-03 06:00,2024-06-03 07:00,2024-06-06 20:00,time,69038.94,68470.88,70479.49,568.06,309.37,15.74
71,SELL,2024-06-07 17:00,2024-06-07 18:00,2024-06-09 13:00,time,69803.59,70385.62,69712.96,582.03,4.71,15.74
72,BUY,2024-06-10 15:00,2024-06-10 16:00,2024-06-10 16:00,sl,70066.12,69725.59,69725.59,340.53,,
73,SELL,2024-06-11 01:00,2024-06-11 02:00,2024-06-12 10:00,time,68724.00,69210.88,67753.33,486.88,243.20,18.39
74,BUY,2024-06-12 12:00,2024-06-12 13:00,2024-06-12 18:00,sl,69339.29,68740.99,68740.99,598.30,-149.06,15.42
