id,direction,signal_time,entry_time,exit_time,outcome,entry,stop,exit,risk,net_pnl,commission
1,BUY,2021-01-01 00:00,2021-01-02 00:00,2021-03-25 00:00,time,29331.70,26346.69,52303.66,2985.01,768.21,1.37
2,BUY,2021-04-13 00:00,2021-04-14 00:00,2021-04-18 00:00,sl,63575.01,58469.64,58469.64,5105.37,-108.97,1.29
3,SELL,2021-05-17 00:00,2021-05-18 00:00,2021-06-15 00:00,time,43538.02,51413.33,40516.28,7875.31,40.33,0.57
4,SELL,2021-07-19 00:00,2021-07-20 00:00,2021-07-24 00:00,time,30839.65,34030.04,33634.10,3190.39,-94.80,1.08
5,BUY,2021-07-25 00:00,2021-07-26 00:00,2021-09-21 00:00,time,35381.02,32260.59,43016.64,3120.43,258.16,1.33
6,SELL,2021-09-21 00:00,2021-09-22 00:00,2021-10-01 00:00,sl,40734.09,46130.08,46130.08,5395.99,-109.50,0.87
7,BUY,2021-10-05 00:00,2021-10-06 00:00,2021-10-28 00:00,time,51471.99,46262.02,58413.44,5209.97,142.14,1.13
8,BUY,2021-11-08 00:00,2021-11-09 00:00,2021-11-16 00:00,sl,67525.82,61546.09,61546.09,5979.73,-110.13,1.18
9,SELL,2021-11-18 00:00,2021-11-19 00:00,2021-12-24 00:00,time,56891.62,62691.10,50838.82,5799.48,111.56,1.00
10,SELL,2022-01-05 00:00,2022-01-06 00:00,2022-02-05 00:00,time,43451.14,47795.70,41571.70,4344.56,46.07,1.07
11,BUY,2022-02-07 00:00,2022-02-08 00:00,2022-02-18 00:00,time,43839.99,39145.53,40515.71,4694.46,-78.47,0.98
12,BUY,2022-03-24 00:00,2022-03-25 00:00,2022-04-07 00:00,time,43991.46,40218.64,43170.47,3772.82,-24.90,1.26
13,SELL,2022-04-11 00:00,2022-04-12 00:00,2022-05-31 00:00,time,39530.45,42987.98,31734.23,3457.53,243.30,1.12
14,SELL,2022-06-12 00:00,2022-06-13 00:00,2022-07-08 00:00,time,26574.53,29421.75,21624.99,2847.22,191.73,0.94
15,BUY,2022-07-19 00:00,2022-07-20 00:00,2022-07-26 00:00,sl,23398.48,20928.76,20928.76,2469.72,-113.76,1.01
16,SELL,2022-08-19 00:00,2022-08-20 00:00,2022-09-10 00:00,time,20834.39,22780.98,21361.62,1946.59,-31.44,1.21
17,BUY,2022-09-12 00:00,2022-09-13 00:00,2022-09-13 00:00,sl,22395.44,20704.94,20704.94,1690.50,,
18,BUY,2022-10-26 00:00,2022-10-27 00:00,2022-11-08 00:00,sl,20771.61,19648.55,19648.55,1123.06,-113.29,2.00
19,SELL,2022-11-09 00:00,2022-11-10 00:00,2022-11-10 00:00,sl,15922.68,17686.81,17686.81,1764.13,,
20,BUY,2022-12-13 00:00,2022-12-14 00:00,2022-12-16 00:00,sl,17775.82,16964.74,16964.74,811.08,-112.51,2.36
21,BUY,2023-01-08 00:00,2023-01-09 00:00,2023-02-10 00:00,time,17127.83,16638.09,21797.83,489.74,1035.29,4.33
22,SELL,2023-02-10 00:00,2023-02-11 00:00,2023-02-15 00:00,sl,21625.19,23175.16,23175.16,1549.97,-121.10,1.73
23,SELL,2023-03-08 00:00,2023-03-09 00:00,2023-03-13 00:00,sl,21704.37,23373.09,23373.09,1668.72,-119.76,1.60
24,BUY,2023-03-14 00:00,2023-03-15 00:00,2023-04-22 00:00,time,24670.41,22592.00,27262.84,2078.41,144.44,1.46
25,SELL,2023-06-05 00:00,2023-06-06 00:00,2023-06-06 00:00,sl,25728.20,27306.32,27306.32,1578.12,,
26,SELL,2023-06-14 00:00,2023-06-15 00:00,2023-06-19 00:00,sl,25128.60,26897.42,26897.42,1768.82,-120.15,1.74
27,BUY,2023-06-20 00:00,2023-06-21 00:00,2023-07-25 00:00,time,28308.00,26427.45,29176.50,1880.55,52.34,1.79
28,SELL,2023-08-17 00:00,2023-08-18 00:00,2023-08-29 00:00,sl,26623.41,27955.54,27955.54,1332.13,-120.14,2.41
29,SELL,2023-09-11 00:00,2023-09-12 00:00,2023-09-12 00:00,sl,25162.53,26565.93,26565.93,1403.40,,
30,BUY,2023-10-01 00:00,2023-10-02 00:00,2023-10-11 00:00,sl,27992.58,26729.38,26729.38,1263.20,-119.04,2.52
31,BUY,2023-10-23 00:00,2023-10-24 00:00,2023-12-31 00:00,time,33069.99,31085.50,42140.29,1984.49,524.91,2.19
