id,direction,signal_time,entry_time,exit_time,outcome,entry,stop,exit,risk,net_pnl,commission
1,SELL,2022-01-05 00:00,2022-01-06 00:00,2022-02-05 00:00,time,43451.14,47795.70,41571.70,4344.56,42.28,0.98
2,BUY,2022-02-07 00:00,2022-02-08 00:00,2022-02-18 00:00,time,43839.99,39145.52,40515.71,4694.47,-72.01,0.90
3,BUY,2022-03-24 00:00,2022-03-25 00:00,2022-04-07 00:00,time,43991.46,40218.64,43170.47,3772.82,-22.85,1.15
4,SELL,2022-04-11 00:00,2022-04-12 00:00,2022-05-31 00:00,time,39530.45,42987.98,31734.23,3457.53,223.27,1.03
5,SELL,2022-06-12 00:00,2022-06-13 00:00,2022-07-08 00:00,time,26574.53,29421.75,21624.99,2847.22,175.94,0.86
6,BUY,2022-07-19 00:00,2022-07-20 00:00,2022-07-26 00:00,sl,23398.48,20928.76,20928.76,2469.72,-104.39,0.93
7,SELL,2022-08-19 00:00,2022-08-20 00:00,2022-09-10 00:00,time,20834.39,22780.98,21361.62,1946.59,-28.85,1.11
8,BUY,2022-09-12 00:00,2022-09-13 00:00,2022-09-13 00:00,sl,22395.44,20704.94,20704.94,1690.50,,
9,BUY,2022-10-26 00:00,2022-10-27 00:00,2022-11-08 00:00,sl,20771.61,19648.55,19648.55,1123.06,-103.96,1.84
10,SELL,2022-11-09 00:00,2022-11-10 00:00,2022-11-10 00:00,sl,15922.68,17686.81,17686.81,1764.13,,
11,BUY,2022-12-13 00:00,2022-12-14 00:00,2022-12-16 00:00,sl,17775.82,16964.74,16964.74,811.08,-103.25,2.16
