id,direction,signal_time,entry_time,exit_time,outcome,entry,stop,exit,risk,net_pnl,commission
1,BUY,2023-01-02 03:00,2023-01-02 04:00,2023-01-03 15:00,time,16662.38,16596.40,16662.08,65.98,-25.71,25.25
2,BUY,2023-01-04 03:00,2023-01-04 04:00,2023-01-05 14:00,time,16862.61,16761.55,16780.79,101.06,-97.36,16.60
3,SELL,2023-01-06 11:00,2023-01-06 12:00,2023-01-06 13:00,sl,16738.74,16810.53,16810.53,71.79,-121.85,23.08
4,BUY,2023-01-06 19:00,2023-01-06 20:00,2023-01-11 16:00,time,16940.41,16838.33,17331.90,102.08,357.73,16.38
5,BUY,2023-01-11 23:00,2023-01-12 00:00,2023-01-18 16:00,time,17943.26,17784.57,21042.73,158.69,1962.77,12.42
6,BUY,2023-01-19 18:00,2023-01-19 19:00,2023-01-21 23:00,time,20978.76,20757.25,22757.14,221.51,957.57,11.92
7,SELL,2023-01-22 20:00,2023-01-22 21:00,2023-01-23 00:00,sl,22459.46,22792.21,22792.21,332.75,-139.19,8.86
8,SELL,2023-01-24 23:00,2023-01-25 00:00,2023-01-25 20:00,time,22631.94,22963.06,22749.97,331.12,-54.80,8.84
9,BUY,2023-01-25 20:00,2023-01-25 21:00,2023-01-27 01:00,sl,22935.92,22636.14,22636.14,299.78,-138.15,9.76
10,BUY,2023-01-27 17:00,2023-01-27 18:00,2023-01-30 09:00,time,23204.74,22877.09,23547.79,327.65,123.92,9.06
11,SELL,2023-01-30 09:00,2023-01-30 10:00,2023-01-31 08:00,time,23191.20,23510.31,22978.24,319.11,76.31,9.28
12,BUY,2023-02-01 19:00,2023-02-01 20:00,2023-02-02 15:00,time,23385.99,23106.67,23609.11,279.32,92.20,10.85
13,SELL,2023-02-02 21:00,2023-02-02 22:00,2023-02-03 16:00,time,23455.65,23807.32,23604.62,351.67,-63.74,8.69
14,SELL,2023-02-05 12:00,2023-02-05 13:00,2023-02-06 16:00,time,23170.56,23332.91,23042.86,162.35,83.30,18.40
