id,direction,signal_time,entry_time,exit_time,outcome,entry,stop,exit,risk,net_pnl,commission
1,BUY,2021-01-01 01:00,2021-01-01 01:15,2021-01-01 04:30,sl,29384.97,29047.80,29047.80,337.17,-108.67,8.67
2,SELL,2021-01-01 07:00,2021-01-01 07:15,2021-01-01 09:15,sl,28930.89,29214.63,29214.63,283.74,-109.05,10.13
3,BUY,2021-01-01 11:15,2021-01-01 11:30,2021-01-01 15:30,sl,29368.93,29078.52,29078.52,290.41,-107.67,9.84
4,SELL,2021-01-01 15:30,2021-01-01 15:45,2021-01-02 00:00,time,29125.39,29422.35,29331.70,296.96,-76.74,9.52
5,BUY,2021-01-02 01:30,2021-01-02 01:45,2021-01-02 20:30,time,29349.35,29118.71,32234.24,230.64,1187.69,12.81
6,SELL,2021-01-02 20:45,2021-01-02 21:00,2021-01-02 21:00,sl,30669.43,31645.34,31645.34,975.91,,
7,BUY,2021-01-03 02:30,2021-01-03 02:45,2021-01-03 10:30,time,32822.25,32265.69,33739.36,556.56,171.25,6.45
8,SELL,2021-01-03 15:00,2021-01-03 15:15,2021-01-03 20:30,time,33355.10,34092.46,33697.07,737.36,-55.79,4.98
9,SELL,2021-01-04 07:00,2021-01-04 07:15,2021-01-04 12:45,time,32797.46,33317.67,31253.80,520.21,316.72,6.71
10,BUY,2021-01-04 14:30,2021-01-04 14:45,2021-01-04 21:45,time,31924.68,30441.09,30905.03,1483.59,-79.46,2.37
11,BUY,2021-01-04 23:30,2021-01-04 23:45,2021-01-05 03:30,time,31884.55,31244.87,31872.72,639.68,-7.61,5.55
12,SELL,2021-01-05 04:00,2021-01-05 04:15,2021-01-05 08:15,time,30704.86,31555.58,31363.27,850.72,-90.19,4.06
13,BUY,2021-01-05 09:30,2021-01-05 09:45,2021-01-06 08:30,time,31793.46,30911.68,34179.69,881.78,294.60,4.13
14,BUY,2021-01-06 18:00,2021-01-06 18:15,2021-01-06 20:00,sl,35173.66,34519.14,34519.14,654.52,-119.37,6.03
15,BUY,2021-01-06 20:45,2021-01-06 21:00,2021-01-07 06:30,time,36015.16,35121.00,36820.54,894.16,96.44,4.57
16,BUY,2021-01-07 11:45,2021-01-07 12:00,2021-01-07 18:45,time,37825.64,37195.26,37865.20,630.38,0.31,6.79
17,SELL,2021-01-08 01:30,2021-01-08 01:45,2021-01-08 09:45,sl,38199.14,39250.67,39250.67,1051.53,-117.27,4.17
18,BUY,2021-01-08 09:45,2021-01-08 10:00,2021-01-08 15:30,time,39358.99,38495.35,40469.31,863.64,138.73,5.17
19,SELL,2021-01-08 20:30,2021-01-08 20:45,2021-01-08 22:30,sl,39159.94,40394.59,40394.59,1234.65,-116.97,3.65
20,SELL,2021-01-09 05:45,2021-01-09 06:00,2021-01-09 08:45,time,39293.41,40136.73,40017.27,843.32,-101.54,5.27
21,BUY,2021-01-09 09:00,2021-01-09 09:15,2021-01-09 15:15,time,40625.11,39742.90,40304.39,882.21,-45.50,5.10
22,SELL,2021-01-09 16:15,2021-01-09 16:30,2021-01-09 19:15,sl,40110.74,40831.81,40831.81,721.07,-116.89,6.21
23,BUY,2021-01-10 01:15,2021-01-10 01:30,2021-01-10 03:00,sl,41185.12,40652.67,40652.67,532.45,-117.93,8.42
24,SELL,2021-01-10 11:15,2021-01-10 11:30,2021-01-10 13:15,sl,39326.07,39979.24,39979.24,653.17,-114.91,6.58
25,SELL,2021-01-10 17:15,2021-01-10 17:30,2021-01-10 22:15,time,38166.39,38937.89,38720.00,771.50,-82.25,5.34
26,SELL,2021-01-11 03:00,2021-01-11 03:15,2021-01-11 08:45,time,35694.50,36972.57,35766.96,1278.07,-9.00,2.97
27,BUY,2021-01-11 10:00,2021-01-11 10:15,2021-01-11 11:15,time,36187.02,34400.47,34723.54,1786.55,-89.16,2.11
28,SELL,2021-01-11 13:45,2021-01-11 14:00,2021-01-11 21:00,time,32808.92,34352.46,33410.75,1543.54,-43.35,2.26
29,BUY,2021-01-11 21:00,2021-01-11 21:15,2021-01-12 02:15,time,33949.44,32114.27,33792.03,1835.17,-10.94,1.94
30,BUY,2021-01-12 05:45,2021-01-12 06:00,2021-01-12 10:15,time,35882.68,34877.95,35335.74,1004.73,-60.79,3.72
31,SELL,2021-01-12 10:15,2021-01-12 10:30,2021-01-12 11:15,sl,34881.00,35828.92,35828.92,947.92,-108.12,3.89
32,SELL,2021-01-12 13:15,2021-01-12 13:30,2021-01-12 17:00,time,34567.87,35530.17,34998.91,962.30,-49.93,3.73
33,SELL,2021-01-13 00:15,2021-01-13 00:30,2021-01-13 03:00,sl,33081.25,34237.78,34237.78,1156.53,-105.64,2.99
34,BUY,2021-01-13 07:15,2021-01-13 07:30,2021-01-14 04:00,time,34613.73,33629.97,37045.13,983.76,247.39,3.70
35,SELL,2021-01-14 04:00,2021-01-14 04:15,2021-01-14 05:30,sl,36885.88,37619.69,37619.69,733.81,-109.35,5.28
36,BUY,2021-01-14 06:15,2021-01-14 06:30,2021-01-14 10:00,time,38000.00,37338.73,37938.10,661.27,-15.55,5.91
37,BUY,2021-01-14 13:45,2021-01-14 14:00,2021-01-14 21:15,time,38977.98,38275.58,39014.09,702.40,-0.42,5.71
38,SELL,2021-01-14 21:15,2021-01-14 21:30,2021-01-14 23:15,sl,38475.84,39196.63,39196.63,720.79,-108.35,5.54
39,SELL,2021-01-15 05:45,2021-01-15 06:00,2021-01-15 07:30,sl,37808.90,38483.11,38483.11,674.21,-107.49,5.76
40,SELL,2021-01-15 12:15,2021-01-15 12:30,2021-01-15 21:45,time,37426.73,38093.50,36272.69,666.77,168.65,5.56
41,BUY,2021-01-15 22:30,2021-01-15 22:45,2021-01-16 03:00,time,36760.11,35784.14,36224.51,975.97,-59.99,3.83
42,SELL,2021-01-16 05:30,2021-01-16 05:45,2021-01-16 07:00,sl,35757.85,36589.55,36589.55,831.70,-106.17,4.43
43,BUY,2021-01-16 08:30,2021-01-16 08:45,2021-01-16 12:30,time,37395.76,36600.60,36940.96,795.16,-62.29,4.71
44,SELL,2021-01-16 18:45,2021-01-16 19:00,2021-01-17 02:00,time,36484.95,37199.43,36715.63,714.48,-37.43,5.13
45,SELL,2021-01-17 06:15,2021-01-17 06:30,2021-01-17 11:45,time,35161.75,35785.88,35284.66,624.13,-25.26,5.63
46,BUY,2021-01-17 15:15,2021-01-17 15:30,2021-01-18 00:00,time,35837.09,35070.21,35824.99,766.88,-6.21,4.65
47,SELL,2021-01-18 03:15,2021-01-18 03:30,2021-01-18 07:00,sl,35167.46,35845.33,35845.33,677.87,-104.57,5.20
48,BUY,2021-01-18 09:00,2021-01-18 09:15,2021-01-18 11:00,sl,36573.91,35996.63,35996.63,577.28,-104.50,6.18
49,BUY,2021-01-18 12:00,2021-01-18 12:15,2021-01-18 14:30,sl,37278.56,36670.35,36670.35,608.21,-103.19,5.91
50,SELL,2021-01-18 17:15,2021-01-18 17:30,2021-01-18 20:30,sl,35526.31,36146.72,36146.72,620.41,-101.81,5.56
51,BUY,2021-01-18 22:45,2021-01-18 23:00,2021-01-19 04:00,time,36472.46,36021.03,36468.31,451.43,-8.57,7.69
52,SELL,2021-01-19 04:45,2021-01-19 05:00,2021-01-19 07:45,sl,36284.71,36821.95,36821.95,537.24,-101.62,6.47
53,BUY,2021-01-19 07:45,2021-01-19 08:00,2021-01-19 12:45,sl,37167.92,36668.70,36668.70,499.22,-101.09,6.96
54,BUY,2021-01-19 16:00,2021-01-19 16:15,2021-01-19 17:00,sl,37666.19,37105.82,37105.82,560.37,-99.33,6.21
55,SELL,2021-01-19 18:45,2021-01-19 19:00,2021-01-20 14:00,time,36500.00,37095.47,34958.56,595.47,232.94,5.53
56,BUY,2021-01-20 18:45,2021-01-20 19:00,2021-01-20 21:15,time,35250.39,34551.41,34710.78,698.98,-77.64,4.73
57,BUY,2021-01-20 23:15,2021-01-20 23:30,2021-01-21 00:45,sl,35646.63,35095.10,35095.10,551.53,-99.68,6.01
58,SELL,2021-01-21 08:30,2021-01-21 08:45,2021-01-21 19:30,time,33736.56,34353.16,32568.43,616.60,170.59,4.98
59,BUY,2021-01-21 19:30,2021-01-21 19:45,2021-01-21 21:45,sl,32634.00,31534.42,31534.42,1099.58,-97.14,2.75
60,SELL,2021-01-21 22:00,2021-01-21 22:15,2021-01-21 23:00,sl,30594.86,31396.04,31396.04,801.18,-97.03,3.61
61,SELL,2021-01-22 00:15,2021-01-22 00:30,2021-01-22 02:30,sl,29732.26,30740.21,30740.21,1007.95,-95.22,2.77
62,BUY,2021-01-22 05:15,2021-01-22 05:30,2021-01-22 08:00,time,31476.38,30467.59,30846.59,1008.79,-59.94,2.83
63,BUY,2021-01-22 13:15,2021-01-22 13:30,2021-01-22 16:15,time,32209.15,31385.29,32010.89,823.86,-25.42,3.54
64,BUY,2021-01-22 18:30,2021-01-22 18:45,2021-01-22 23:00,time,32944.86,32324.63,32835.29,620.23,-20.82,4.81
65,SELL,2021-01-23 00:00,2021-01-23 00:15,2021-01-23 05:45,time,32476.05,33144.81,32928.34,668.76,-65.58,4.42
66,BUY,2021-01-23 05:45,2021-01-23 06:00,2021-01-23 07:00,sl,33357.15,32719.87,32719.87,637.28,-94.43,4.65
67,SELL,2021-01-23 11:15,2021-01-23 11:30,2021-01-23 17:30,sl,31712.62,32358.29,32358.29,645.67,-93.24,4.41
68,BUY,2021-01-24 03:45,2021-01-24 04:00,2021-01-24 10:30,time,32480.06,32075.27,32520.58,404.79,1.74,7.06
69,SELL,2021-01-24 12:30,2021-01-24 12:45,2021-01-24 22:00,time,32395.81,32765.00,31909.46,369.19,108.16,7.66
70,BUY,2021-01-24 22:30,2021-01-24 22:45,2021-01-25 09:45,time,32228.30,31779.37,33027.47,448.93,151.96,6.47
71,SELL,2021-01-25 09:45,2021-01-25 10:00,2021-01-25 12:00,sl,32979.10,33416.60,33416.60,437.50,-97.38,6.87
72,BUY,2021-01-25 12:15,2021-01-25 12:30,2021-01-25 16:15,time,33559.54,33092.71,34113.12,466.83,99.69,6.49
73,SELL,2021-01-25 19:45,2021-01-25 20:00,2021-01-26 10:15,time,33411.54,33978.17,32082.41,566.63,207.14,5.23
74,SELL,2021-01-26 14:30,2021-01-26 14:45,2021-01-26 15:30,sl,31043.84,31712.26,31712.26,668.42,-96.96,4.35
75,BUY,2021-01-26 22:45,2021-01-26 23:00,2021-01-27 00:00,sl,32733.81,32205.81,32205.81,528.00,-97.27,5.64
76,SELL,2021-01-27 02:45,2021-01-27 03:00,2021-01-27 16:15,time,31802.17,32367.38,30760.47,565.21,162.08,5.02
77,BUY,2021-01-27 20:15,2021-01-27 20:30,2021-01-27 22:30,sl,31398.44,30522.53,30522.53,875.91,-95.55,3.26
78,BUY,2021-01-28 03:45,2021-01-28 04:00,2021-01-28 08:30,time,31406.90,30695.42,31025.66,711.48,-52.95,4.01
79,SELL,2021-01-28 09:00,2021-01-28 09:15,2021-01-28 09:45,sl,30908.20,31397.75,31397.75,489.55,-96.58,5.78
80,BUY,2021-01-28 13:45,2021-01-28 14:00,2021-01-29 03:45,time,31775.12,31258.87,33634.99,516.25,317.96,5.69
