id,direction,signal_time,entry_time,exit_time,outcome,entry,stop,exit,risk,net_pnl,commission
1,BUY,2023-01-01 11:45,2023-01-01 12:00,2023-01-02 01:15,time,16556.66,16528.86,16567.52,27.80,-20.51,59.58
2,BUY,2023-01-02 03:45,2023-01-02 04:00,2023-01-02 13:45,time,16662.38,16619.43,16689.78,42.95,24.92,38.75
3,BUY,2023-01-02 21:45,2023-01-02 22:00,2023-01-02 22:15,sl,16757.76,16727.48,16727.48,30.28,-155.37,55.32
4,SELL,2023-01-02 23:45,2023-01-03 00:00,2023-01-03 05:45,time,16672.78,16718.27,16708.98,45.49,-114.50,36.13
5,BUY,2023-01-03 05:45,2023-01-03 06:00,2023-01-03 08:45,time,16725.50,16692.37,16703.53,33.13,-113.68,49.12
6,SELL,2023-01-03 14:45,2023-01-03 15:00,2023-01-03 20:15,time,16662.08,16708.33,16663.82,46.25,-38.28,34.66
7,BUY,2023-01-04 01:00,2023-01-04 01:15,2023-01-04 14:15,time,16697.25,16660.80,16803.49,36.45,235.28,44.04
8,SELL,2023-01-04 15:00,2023-01-04 15:15,2023-01-04 15:45,sl,16792.49,16840.04,16840.04,47.55,-132.90,34.72
9,BUY,2023-01-04 16:00,2023-01-04 16:15,2023-01-04 19:15,sl,16880.55,16824.09,16824.09,56.46,-125.76,28.91
10,SELL,2023-01-05 06:30,2023-01-05 06:45,2023-01-05 15:00,sl,16819.09,16842.51,16842.51,23.42,-164.30,68.71
11,BUY,2023-01-05 15:00,2023-01-05 15:15,2023-01-05 17:45,time,16860.50,16810.70,16818.09,49.80,-111.77,31.77
12,SELL,2023-01-06 11:00,2023-01-06 11:15,2023-01-06 13:30,sl,16749.65,16786.53,16786.53,36.88,-135.03,42.20
13,BUY,2023-01-06 15:30,2023-01-06 15:45,2023-01-07 05:45,time,16822.89,16742.71,16935.22,80.18,108.91,19.26
14,SELL,2023-01-07 06:00,2023-01-07 06:15,2023-01-07 08:00,time,16927.65,16949.18,16948.18,21.53,-161.12,72.84
15,SELL,2023-01-07 10:15,2023-01-07 10:30,2023-01-07 13:30,time,16919.39,16937.19,16930.52,17.80,-143.35,86.48
16,BUY,2023-01-07 14:30,2023-01-07 14:45,2023-01-07 16:30,sl,16940.72,16919.52,16919.52,21.20,-161.03,71.50
17,SELL,2023-01-08 00:30,2023-01-08 00:45,2023-01-08 03:45,time,16922.55,16942.76,16936.35,20.21,-133.65,73.63
18,BUY,2023-01-08 06:45,2023-01-08 07:00,2023-01-08 09:30,sl,16950.92,16937.20,16937.20,13.72,-193.53,106.95
19,SELL,2023-01-08 09:30,2023-01-08 09:45,2023-01-08 11:45,sl,16927.31,16946.01,16946.01,18.70,-161.30,76.65
20,BUY,2023-01-08 15:45,2023-01-08 16:00,2023-01-08 16:00,sl,17000.43,16975.78,16975.78,24.65,,
21,BUY,2023-01-08 23:00,2023-01-08 23:15,2023-01-09 07:00,time,17034.87,16991.29,17189.25,43.58,260.62,32.49
22,BUY,2023-01-09 18:00,2023-01-09 18:15,2023-01-09 19:45,sl,17385.57,17299.28,17299.28,86.29,-102.50,17.15
23,SELL,2023-01-09 20:30,2023-01-09 20:45,2023-01-10 05:00,time,17228.93,17315.19,17222.05,86.26,-10.11,16.84
24,BUY,2023-01-10 08:15,2023-01-10 08:30,2023-01-10 13:00,time,17253.27,17216.15,17224.15,37.12,-105.18,39.11
25,BUY,2023-01-10 14:00,2023-01-10 14:15,2023-01-10 14:45,sl,17288.03,17243.82,17243.82,44.21,-115.66,32.48
26,BUY,2023-01-10 15:00,2023-01-10 15:15,2023-01-10 15:30,sl,17342.67,17279.54,17279.54,63.13,-104.51,22.49
27,BUY,2023-01-10 18:15,2023-01-10 18:30,2023-01-11 02:30,time,17378.21,17289.24,17423.85,88.97,25.70,15.84
28,SELL,2023-01-11 02:45,2023-01-11 03:00,2023-01-11 05:45,time,17387.67,17446.62,17432.76,58.95,-86.12,23.99
29,BUY,2023-01-11 07:15,2023-01-11 07:30,2023-01-11 12:15,time,17452.10,17405.69,17423.00,46.41,-80.58,30.19
30,SELL,2023-01-11 14:00,2023-01-11 14:15,2023-01-11 14:30,sl,17382.48,17422.07,17422.07,39.59,-114.53,34.97
31,SELL,2023-01-11 15:30,2023-01-11 15:45,2023-01-11 18:00,sl,17354.06,17405.06,17405.06,51.00,-105.14,26.72
32,BUY,2023-01-11 18:00,2023-01-11 18:15,2023-01-12 05:30,time,17516.83,17438.41,18165.98,78.42,622.78,17.60
33,BUY,2023-01-12 17:30,2023-01-12 17:45,2023-01-13 00:45,time,18654.48,18354.23,18716.15,300.25,11.97,5.20
34,BUY,2023-01-13 09:15,2023-01-13 09:30,2023-01-14 09:15,time,18876.18,18809.06,20838.66,67.12,2422.93,24.77
35,SELL,2023-01-14 09:15,2023-01-14 09:30,2023-01-14 12:30,sl,20572.89,20782.81,20782.81,209.92,-118.57,10.63
36,BUY,2023-01-14 21:00,2023-01-14 21:15,2023-01-15 00:30,sl,20927.92,20764.90,20764.90,163.02,-120.41,13.65
37,SELL,2023-01-15 00:30,2023-01-15 00:45,2023-01-15 13:30,sl,20657.28,20839.40,20839.40,182.12,-117.58,12.02
38,BUY,2023-01-15 13:30,2023-01-15 13:45,2023-01-15 18:15,time,20763.13,20642.76,20775.75,120.37,-7.07,18.01
39,BUY,2023-01-16 00:45,2023-01-16 01:00,2023-01-16 08:00,sl,20966.58,20822.29,20822.29,144.29,-119.41,15.10
40,SELL,2023-01-16 08:00,2023-01-16 08:15,2023-01-16 15:30,time,20798.00,20985.32,20896.23,187.32,-65.55,11.48
41,BUY,2023-01-16 15:30,2023-01-16 15:45,2023-01-16 21:30,time,20969.07,20802.55,21117.19,166.52,78.19,12.95
42,SELL,2023-01-17 01:00,2023-01-17 01:15,2023-01-17 04:15,sl,20971.90,21196.98,21196.98,225.08,-112.91,9.67
43,BUY,2023-01-17 12:00,2023-01-17 12:15,2023-01-17 14:30,sl,21262.82,21150.17,21150.17,112.65,-121.33,19.22
44,SELL,2023-01-17 23:30,2023-01-17 23:45,2023-01-18 02:30,sl,21164.63,21311.30,21311.30,146.67,-115.50,14.61
45,BUY,2023-01-18 13:30,2023-01-18 13:45,2023-01-18 15:45,sl,21321.02,21210.88,21210.88,110.14,-119.00,19.26
46,SELL,2023-01-18 15:45,2023-01-18 16:00,2023-01-19 03:30,time,21042.73,21281.13,20792.30,238.40,94.88,8.65
47,BUY,2023-01-19 04:15,2023-01-19 04:30,2023-01-19 09:00,time,20823.55,20701.70,20769.06,121.85,-61.48,16.98
48,SELL,2023-01-19 11:15,2023-01-19 11:30,2023-01-19 13:45,sl,20729.92,20806.85,20806.85,76.93,-125.58,26.70
49,BUY,2023-01-19 18:45,2023-01-19 19:00,2023-01-19 22:00,time,20978.76,20833.79,20933.65,144.97,-44.49,14.11
50,BUY,2023-01-20 02:15,2023-01-20 02:30,2023-01-20 04:30,sl,21169.88,21042.32,21042.32,127.56,-113.26,16.08
51,SELL,2023-01-20 04:45,2023-01-20 05:00,2023-01-20 12:15,time,20991.01,21107.56,20999.72,116.55,-24.48,17.30
52,BUY,2023-01-20 12:15,2023-01-20 12:30,2023-01-21 23:00,time,21049.53,20969.26,22757.14,80.27,2012.06,26.14
