id,direction,signal_time,entry_time,exit_time,outcome,entry,stop,exit,risk,net_pnl,commission
1,BUY,2024-01-01 23:00,2024-01-02 00:00,2024-01-02 21:00,time,44179.55,43825.62,44788.27,353.93,159.42,12.57
2,SELL,2024-01-03 11:00,2024-01-03 12:00,2024-01-04 13:00,time,43702.89,44290.65,43378.11,587.76,48.61,7.53
3,BUY,2024-01-08 17:00,2024-01-08 18:00,2024-01-09 13:00,time,45648.01,44980.06,46166.36,667.95,72.20,7.02
4,SELL,2024-01-10 12:00,2024-01-10 13:00,2024-01-10 15:00,sl,44670.54,45489.06,45489.06,818.52,-108.46,5.66
5,SELL,2024-01-12 22:00,2024-01-12 23:00,2024-01-15 14:00,time,42509.99,43406.04,42852.55,896.05,-43.73,4.85
6,SELL,2024-01-18 19:00,2024-01-18 20:00,2024-01-19 06:00,sl,41022.33,41466.91,41466.91,444.58,-110.68,9.40
7,SELL,2024-01-19 16:00,2024-01-19 17:00,2024-01-19 17:00,sl,40395.00,40836.79,40836.79,441.79,,
8,SELL,2024-01-22 18:00,2024-01-22 19:00,2024-01-24 00:00,time,40316.00,40863.86,39897.59,547.86,69.14,7.33
9,BUY,2024-01-24 10:00,2024-01-24 11:00,2024-01-24 14:00,sl,40352.42,39822.53,39822.53,529.89,-108.45,7.63
10,BUY,2024-01-26 16:00,2024-01-26 17:00,2024-01-27 08:00,sl,41961.15,41531.98,41531.98,429.17,-109.44,9.70
11,BUY,2024-01-28 04:00,2024-01-28 05:00,2024-01-28 05:00,sl,42720.33,42480.28,42480.28,240.05,,
12,BUY,2024-01-30 01:00,2024-01-30 02:00,2024-01-30 23:00,sl,43439.51,42996.60,42996.60,442.91,-108.17,9.62
13,SELL,2024-01-31 09:00,2024-01-31 10:00,2024-01-31 15:00,sl,42645.99,43032.36,43032.36,386.37,-108.28,10.81
14,SELL,2024-02-01 01:00,2024-02-01 02:00,2024-02-01 14:00,sl,41983.54,42548.87,42548.87,565.33,-103.59,7.21
15,BUY,2024-02-05 13:00,2024-02-05 14:00,2024-02-05 15:00,sl,43447.67,43082.94,43082.94,364.73,-106.66,11.31
16,BUY,2024-02-07 20:00,2024-02-07 21:00,2024-02-10 11:00,time,44131.37,43775.89,46884.22,355.48,718.09,12.07
17,BUY,2024-02-11 03:00,2024-02-11 04:00,2024-02-11 07:00,sl,48519.60,48100.99,48100.99,418.61,-113.18,11.71
18,BUY,2024-02-14 14:00,2024-02-14 15:00,2024-02-14 15:00,sl,51908.45,51290.06,51290.06,618.39,,
19,BUY,2024-02-15 00:00,2024-02-15 01:00,2024-02-15 07:00,sl,52321.19,51646.53,51646.53,674.66,-108.02,7.73
20,BUY,2024-02-15 14:00,2024-02-15 15:00,2024-02-15 15:00,sl,52621.31,52052.62,52052.62,568.69,,
21,BUY,2024-02-26 15:00,2024-02-26 16:00,2024-02-29 18:00,time,52842.33,52444.15,60982.35,398.18,2013.09,14.17
22,BUY,2024-03-04 00:00,2024-03-04 01:00,2024-03-05 19:00,sl,63459.29,62778.52,62778.52,680.77,-130.36,11.06
23,BUY,2024-03-08 14:00,2024-03-08 15:00,2024-03-08 15:00,sl,68422.00,67735.84,67735.84,686.16,,
24,BUY,2024-03-10 09:00,2024-03-10 10:00,2024-03-10 13:00,sl,69776.32,69284.41,69284.41,491.91,-134.60,16.67
25,BUY,2024-03-11 07:00,2024-03-11 08:00,2024-03-12 17:00,time,71019.99,70046.51,70507.38,973.48,-69.87,8.47
26,SELL,2024-03-16 21:00,2024-03-16 22:00,2024-03-17 10:00,sl,66243.29,67166.13,67166.13,922.84,-124.27,8.38
27,SELL,2024-03-19 08:00,2024-03-19 09:00,2024-03-19 16:00,sl,63463.64,64882.39,64882.39,1418.75,-119.83,5.19
28,SELL,2024-03-19 23:00,2024-03-20 00:00,2024-03-20 11:00,sl,61937.41,63569.54,63569.54,1632.13,-117.81,4.36
29,SELL,2024-03-22 13:00,2024-03-22 14:00,2024-03-22 15:00,sl,63058.61,64132.41,64132.41,1073.80,-118.92,6.65
30,BUY,2024-03-25 13:00,2024-03-25 14:00,2024-03-29 06:00,time,67984.01,67137.86,70180.71,846.15,279.31,9.07
31,BUY,2024-03-31 23:00,2024-04-01 00:00,2024-04-01 01:00,sl,71280.00,70844.03,70844.03,435.97,-132.44,18.56
32,SELL,2024-04-01 05:00,2024-04-01 06:00,2024-04-01 07:00,sl,69167.47,69725.35,69725.35,557.88,-126.56,14.01
33,SELL,2024-04-01 15:00,2024-04-01 16:00,2024-04-01 18:00,sl,68237.15,68975.09,68975.09,737.94,-121.63,10.35
34,SELL,2024-04-02 02:00,2024-04-02 03:00,2024-04-03 05:00,time,66996.01,67977.61,66320.41,981.60,68.28,7.47
35,BUY,2024-04-04 17:00,2024-04-04 18:00,2024-04-04 20:00,sl,68849.18,68098.39,68098.39,750.79,-120.85,10.10
36,BUY,2024-04-07 16:00,2024-04-07 17:00,2024-04-07 18:00,sl,70074.01,69471.25,69471.25,602.76,-122.22,12.68
37,BUY,2024-04-08 07:00,2024-04-08 08:00,2024-04-09 07:00,time,70698.64,70019.82,70765.70,678.82,-0.59,11.29
38,SELL,2024-04-09 14:00,2024-04-09 15:00,2024-04-10 20:00,time,69358.32,70228.68,70084.00,870.36,-98.99,8.68
39,BUY,2024-04-10 22:00,2024-04-10 23:00,2024-04-11 14:00,sl,70528.00,69624.20,69624.20,903.80,-115.65,8.32
