variant,window,return,max_dd,n,net_wr,sum_r,pf,fees,balance,calmar
baseline,2020-2023,9.470005,-0.278874,686,0.259475,354.2546,1.434505,32520.54,104700.05,33.958044
adx20,2020-2023,3.870872,-0.315667,556,0.258993,244.7597,1.345032,15264.16,48708.72,12.262529
adx25,2020-2023,4.404915,-0.255002,422,0.270142,234.6876,1.468685,11429.24,54049.15,17.274012
atrpct0.4,2020-2023,4.159697,-0.264590,646,0.264706,256.7436,1.321858,15782.20,51596.97,15.721294
atrpct0.6,2020-2023,1.741053,-0.264590,545,0.284404,162.4812,1.224805,8158.41,27410.53,6.580193
chan3,2020-2023,9.003397,-0.296737,682,0.258065,349.4874,1.424897,31374.12,100033.97,30.341375
chan5,2020-2023,1.977328,-0.320715,414,0.270531,170.4568,1.379052,6657.56,29773.28,6.165371
inside12,2020-2023,9.610168,-0.278863,685,0.259854,355.2546,1.436439,32860.32,106101.68,34.461945
inside24,2020-2023,9.616402,-0.278859,685,0.259854,355.2546,1.436498,32875.58,106164.02,34.484832
tstop48,2020-2023,4.989166,-0.309142,755,0.270199,293.9524,1.301507,24166.35,59891.66,16.138762
tstop96,2020-2023,8.179958,-0.278874,711,0.255977,341.5415,1.398360,29850.07,91799.58,29.332126
tstop168,2020-2023,10.342045,-0.276212,692,0.258671,363.3349,1.440310,35135.09,113420.45,37.442417
ls3_24,2020-2023,9.093945,-0.299865,628,0.253185,344.5112,1.504096,26990.39,100939.45,30.326777
ls3_48,2020-2023,7.301686,-0.294369,573,0.249564,316.1964,1.438688,24349.33,83016.86,24.804567
ls5_24,2020-2023,11.095612,-0.259425,659,0.264036,364.1896,1.529565,31290.84,120956.12,42.769979
ls5_48,2020-2023,10.264674,-0.257816,636,0.262579,354.6172,1.542355,28497.27,112646.74,39.813890
