id,direction,signal_time,entry_time,exit_time,outcome,entry,stop,exit,risk,net_pnl,commission
1,SELL,2020-01-02 16:00,2020-01-02 17:00,2020-01-03 04:00,sl,7052.32,7110.19,7110.19,57.87,-112.24,12.24
2,BUY,2020-01-03 09:00,2020-01-03 10:00,2020-01-03 14:00,sl,7349.30,7241.54,7241.54,107.76,-105.57,6.69
3,BUY,2020-01-03 16:00,2020-01-03 17:00,2020-01-03 21:00,sl,7388.21,7271.32,7271.32,116.89,-103.96,6.13
4,BUY,2020-01-05 01:00,2020-01-05 02:00,2020-01-05 21:00,sl,7459.91,7391.82,7391.82,68.09,-107.34,10.55
5,BUY,2020-01-06 02:00,2020-01-06 03:00,2020-01-06 13:00,sl,7551.47,7484.10,7484.10,67.37,-106.39,10.68
6,BUY,2020-01-06 23:00,2020-01-07 00:00,2020-01-08 17:00,time,7758.90,7677.45,8115.00,81.45,404.57,9.22
7,SELL,2020-01-09 16:00,2020-01-09 17:00,2020-01-09 19:00,sl,7818.15,7921.34,7921.34,103.19,-106.22,7.53
8,BUY,2020-01-10 23:00,2020-01-11 00:00,2020-01-11 05:00,sl,8198.86,8046.57,8046.57,152.29,-102.84,5.21
9,BUY,2020-01-14 04:00,2020-01-14 05:00,2020-01-16 02:00,time,8523.92,8429.81,8663.63,94.11,134.59,8.82
10,SELL,2020-01-23 05:00,2020-01-23 06:00,2020-01-24 14:00,time,8562.88,8631.02,8466.89,68.14,125.74,12.24
11,BUY,2020-01-26 16:00,2020-01-26 17:00,2020-02-01 13:00,time,8503.36,8432.03,9311.64,71.33,1111.67,12.39
12,BUY,2020-02-05 15:00,2020-02-05 16:00,2020-02-08 03:00,time,9484.22,9403.29,9729.08,80.93,320.70,13.10
13,BUY,2020-02-11 15:00,2020-02-11 16:00,2020-02-13 09:00,time,10165.00,10055.67,10260.86,109.33,88.94,10.61
14,SELL,2020-02-16 16:00,2020-02-16 17:00,2020-02-16 22:00,sl,9735.00,9848.80,9848.80,113.80,-124.26,9.84
15,SELL,2020-02-17 11:00,2020-02-17 12:00,2020-02-18 02:00,sl,9609.94,9758.81,9758.81,148.87,-120.54,7.36
16,SELL,2020-02-25 14:00,2020-02-25 15:00,2020-03-02 06:00,time,9404.87,9517.43,8658.01,112.56,733.98,8.98
17,BUY,2020-03-02 21:00,2020-03-02 22:00,2020-03-03 00:00,sl,8935.75,8836.10,8836.10,99.65,-129.95,10.64
18,BUY,2020-03-05 09:00,2020-03-05 10:00,2020-03-07 17:00,time,9080.08,8981.49,9038.86,98.59,-60.18,10.84
19,SELL,2020-03-08 00:00,2020-03-08 01:00,2020-03-10 11:00,time,8785.45,8873.63,8038.23,88.18,983.71,11.20
20,BUY,2020-03-10 12:00,2020-03-10 13:00,2020-03-10 13:00,sl,8133.62,8019.79,8019.79,113.83,,
21,SELL,2020-03-12 06:00,2020-03-12 07:00,2020-03-15 22:00,time,7494.17,7661.37,5906.85,167.20,1202.45,5.10
22,BUY,2020-03-19 15:00,2020-03-19 16:00,2020-03-20 20:00,sl,5895.71,5728.41,5728.41,167.30,-144.06,4.84
23,BUY,2020-03-24 08:00,2020-03-24 09:00,2020-03-24 15:00,sl,6712.09,6480.96,6480.96,231.13,-141.72,3.93
24,SELL,2020-03-28 03:00,2020-03-28 04:00,2020-03-28 08:00,sl,6116.88,6243.36,6243.36,126.48,-143.03,6.66
25,SELL,2020-03-28 17:00,2020-03-28 18:00,2020-03-28 18:00,sl,6024.16,6171.92,6171.92,147.76,,
26,SELL,2020-03-29 19:00,2020-03-29 20:00,2020-03-30 02:00,sl,5906.39,6002.30,6002.30,95.91,-143.28,8.38
27,BUY,2020-03-30 11:00,2020-03-30 12:00,2020-04-01 01:00,time,6355.55,6229.04,6305.50,126.51,-59.48,6.68
28,SELL,2020-04-01 12:00,2020-04-01 13:00,2020-04-01 20:00,sl,6219.29,6307.70,6307.70,88.41,-142.29,9.41
29,BUY,2020-04-01 22:00,2020-04-01 23:00,2020-04-03 16:00,time,6520.76,6411.18,6713.34,109.58,223.09,7.94
30,BUY,2020-04-06 17:00,2020-04-06 18:00,2020-04-07 20:00,sl,7205.49,7079.53,7079.53,125.96,-141.27,7.58
31,SELL,2020-04-10 05:00,2020-04-10 06:00,2020-04-12 13:00,time,6954.69,7072.50,6910.03,117.81,42.36,7.78
32,BUY,2020-04-12 14:00,2020-04-12 15:00,2020-04-12 23:00,sl,6965.94,6894.94,6894.94,71.00,-145.65,12.95
33,SELL,2020-04-13 00:00,2020-04-13 01:00,2020-04-13 21:00,sl,6718.85,6846.03,6846.03,127.18,-138.24,7.00
34,SELL,2020-04-16 00:00,2020-04-16 01:00,2020-04-16 01:00,sl,6573.04,6660.71,6660.71,87.67,,
35,BUY,2020-04-16 08:00,2020-04-16 09:00,2020-04-16 10:00,sl,7045.30,6919.96,6919.96,125.34,-137.04,7.23
36,BUY,2020-04-16 22:00,2020-04-16 23:00,2020-04-17 13:00,sl,7151.06,6992.19,6992.19,158.87,-134.16,5.72
37,BUY,2020-04-18 13:00,2020-04-18 14:00,2020-04-18 16:00,sl,7237.13,7165.80,7165.80,71.33,-139.93,12.83
38,SELL,2020-04-20 17:00,2020-04-20 18:00,2020-04-20 18:00,sl,6872.58,6978.09,6978.09,105.51,,
39,SELL,2020-04-20 19:00,2020-04-20 20:00,2020-04-20 22:00,sl,6768.94,6886.96,6886.96,118.02,-132.93,7.27
40,BUY,2020-04-22 13:00,2020-04-22 14:00,2020-04-23 07:00,time,7061.97,6993.02,7039.95,68.95,-52.42,12.71
41,BUY,2020-04-23 13:00,2020-04-23 14:00,2020-05-03 15:00,time,7233.69,7155.59,8768.55,78.10,2420.53,12.68
42,SELL,2020-05-04 05:00,2020-05-04 06:00,2020-05-04 13:00,sl,8606.11,8791.44,8791.44,185.33,-154.96,6.95
43,BUY,2020-05-07 13:00,2020-05-07 14:00,2020-05-09 07:00,time,9487.20,9325.57,9697.55,161.63,181.91,8.69
44,SELL,2020-05-09 07:00,2020-05-09 08:00,2020-05-09 16:00,sl,9594.70,9753.31,9753.31,158.61,-157.32,9.04
45,SELL,2020-05-10 00:00,2020-05-10 01:00,2020-05-11 11:00,sl,8703.56,8966.32,8966.32,262.76,-151.64,4.93
46,BUY,2020-05-13 21:00,2020-05-13 22:00,2020-05-15 03:00,time,9347.52,9213.69,9490.10,133.83,144.46,10.22
47,SELL,2020-05-15 20:00,2020-05-15 21:00,2020-05-15 21:00,sl,9250.29,9449.78,9449.78,199.49,,
48,SELL,2020-05-21 14:00,2020-05-21 15:00,2020-05-22 11:00,time,9084.14,9238.32,9164.63,154.18,-85.21,8.68
49,SELL,2020-05-24 16:00,2020-05-24 17:00,2020-05-24 21:00,sl,8938.11,9045.69,9045.69,107.58,-157.93,12.18
50,SELL,2020-05-24 23:00,2020-05-25 00:00,2020-05-25 07:00,sl,8718.14,8857.84,8857.84,139.70,-153.24,9.07
51,BUY,2020-05-28 00:00,2020-05-28 01:00,2020-05-28 03:00,sl,9267.21,9156.81,9156.81,110.40,-154.54,11.90
52,BUY,2020-05-28 14:00,2020-05-28 15:00,2020-05-29 11:00,time,9466.85,9353.14,9365.00,113.71,-138.06,11.68
53,BUY,2020-06-03 23:00,2020-06-04 00:00,2020-06-04 09:00,sl,9666.32,9568.58,9568.58,97.74,-153.46,13.75
54,SELL,2020-06-07 13:00,2020-06-07 14:00,2020-06-07 19:00,sl,9448.42,9543.50,9543.50,95.08,-151.98,13.80
55,SELL,2020-06-11 13:00,2020-06-11 14:00,2020-06-12 09:00,time,9635.05,9754.25,9474.16,119.20,173.50,10.95
56,SELL,2020-06-15 03:00,2020-06-15 04:00,2020-06-15 15:00,sl,9164.09,9256.98,9256.98,92.89,-152.12,13.72
57,BUY,2020-06-15 20:00,2020-06-15 21:00,2020-06-17 15:00,time,9477.35,9329.33,9411.27,148.02,-69.83,8.73
58,BUY,2020-06-22 12:00,2020-06-22 13:00,2020-06-24 08:00,time,9493.50,9432.11,9512.82,61.39,21.78,21.08
59,SELL,2020-06-24 10:00,2020-06-24 11:00,2020-06-28 15:00,time,9378.20,9459.19,9154.00,80.99,361.95,15.60
60,SELL,2020-07-05 09:00,2020-07-05 10:00,2020-07-05 22:00,sl,9019.58,9074.54,9074.54,54.96,-163.06,23.05
61,BUY,2020-07-06 06:00,2020-07-06 07:00,2020-07-07 10:00,time,9224.48,9159.85,9228.27,64.63,-11.64,19.76
62,SELL,2020-07-10 04:00,2020-07-10 05:00,2020-07-10 15:00,sl,9145.84,9219.18,9219.18,73.34,-155.57,17.31
63,BUY,2020-07-10 23:00,2020-07-11 00:00,2020-07-11 09:00,sl,9288.34,9228.08,9228.08,60.26,-157.71,21.00
