id,direction,signal_time,entry_time,exit_time,outcome,entry,stop,exit,risk,net_pnl,commission
1,SELL,2020-01-02 17:00,2020-01-02 18:00,2020-01-03 04:00,sl,6970.04,7036.35,7036.35,66.31,-110.56,10.56
2,BUY,2020-01-03 09:00,2020-01-03 10:00,2020-01-03 14:00,sl,7349.30,7241.54,7241.54,107.76,-105.59,6.70
3,BUY,2020-01-03 16:00,2020-01-03 17:00,2020-01-03 21:00,sl,7388.21,7271.32,7271.32,116.89,-103.97,6.14
4,BUY,2020-01-05 01:00,2020-01-05 02:00,2020-01-05 21:00,sl,7459.91,7391.82,7391.82,68.09,-107.36,10.56
5,BUY,2020-01-06 22:00,2020-01-06 23:00,2020-01-08 17:00,time,7712.58,7631.99,8115.00,80.59,468.61,9.40
6,SELL,2020-01-09 16:00,2020-01-09 17:00,2020-01-09 19:00,sl,7818.15,7921.34,7921.34,103.19,-108.07,7.66
7,SELL,2020-01-10 05:00,2020-01-10 06:00,2020-01-10 12:00,sl,7748.00,7854.72,7854.72,106.72,-106.59,7.26
8,BUY,2020-01-10 15:00,2020-01-10 16:00,2020-01-10 16:00,sl,8067.50,7946.39,7946.39,121.11,,
9,BUY,2020-01-10 23:00,2020-01-11 00:00,2020-01-11 05:00,sl,8198.86,8046.57,8046.57,152.29,-103.47,5.24
10,BUY,2020-01-14 01:00,2020-01-14 02:00,2020-01-16 02:00,time,8431.83,8345.57,8663.63,86.26,251.55,9.63
11,BUY,2020-01-17 05:00,2020-01-17 06:00,2020-01-17 12:00,sl,8891.25,8788.19,8788.19,103.06,-108.27,8.55
12,BUY,2020-01-19 01:00,2020-01-19 02:00,2020-01-19 06:00,sl,9146.91,9058.72,9058.72,88.19,-108.81,10.18
13,SELL,2020-01-19 11:00,2020-01-19 12:00,2020-01-21 21:00,time,8681.16,8806.77,8719.98,125.61,-36.90,6.76
14,SELL,2020-01-23 09:00,2020-01-23 10:00,2020-01-24 14:00,time,8440.84,8526.35,8466.89,85.51,-39.21,9.61
15,BUY,2020-01-27 00:00,2020-01-27 01:00,2020-01-27 08:00,sl,8666.84,8586.01,8586.01,80.83,-107.11,10.33
16,BUY,2020-01-27 11:00,2020-01-27 12:00,2020-02-01 13:00,time,8735.67,8649.00,9311.64,86.67,626.05,9.96
17,BUY,2020-02-03 01:00,2020-02-03 02:00,2020-02-03 02:00,sl,9510.76,9414.86,9414.86,95.90,,
18,SELL,2020-02-03 15:00,2020-02-03 16:00,2020-02-05 06:00,time,9270.00,9379.17,9277.48,109.17,-15.64,8.66
19,BUY,2020-02-05 18:00,2020-02-05 19:00,2020-02-06 00:00,sl,9657.11,9562.44,9562.44,94.67,-112.09,10.33
20,BUY,2020-02-06 12:00,2020-02-06 13:00,2020-02-06 13:00,sl,9825.21,9710.40,9710.40,114.81,,
21,SELL,2020-02-10 05:00,2020-02-10 06:00,2020-02-10 06:00,sl,9836.14,9935.93,9935.93,99.79,,
22,BUY,2020-02-11 15:00,2020-02-11 16:00,2020-02-13 09:00,time,10165.00,10055.67,10260.86,109.33,78.77,9.39
23,SELL,2020-02-15 15:00,2020-02-15 16:00,2020-02-15 16:00,sl,9983.24,10087.14,10087.14,103.90,,
24,SELL,2020-02-16 16:00,2020-02-16 17:00,2020-02-16 22:00,sl,9735.00,9848.80,9848.80,113.80,-110.00,8.72
25,SELL,2020-02-17 11:00,2020-02-17 12:00,2020-02-18 02:00,sl,9609.94,9758.81,9758.81,148.87,-106.71,6.52
26,BUY,2020-02-18 16:00,2020-02-18 17:00,2020-02-19 21:00,sl,9919.76,9797.10,9797.10,122.66,-107.09,7.97
27,BUY,2020-02-21 12:00,2020-02-21 13:00,2020-02-21 20:00,sl,9747.01,9638.26,9638.26,108.75,-106.79,8.74
28,SELL,2020-02-25 14:00,2020-02-25 15:00,2020-03-02 06:00,time,9404.87,9517.43,8658.01,112.56,635.74,7.78
29,BUY,2020-03-02 13:00,2020-03-02 14:00,2020-03-03 08:00,time,8828.96,8719.43,8755.64,109.53,-77.47,8.30
30,BUY,2020-03-05 00:00,2020-03-05 01:00,2020-03-07 17:00,time,8859.91,8771.87,9038.86,88.04,198.05,10.43
31,SELL,2020-03-08 00:00,2020-03-08 01:00,2020-03-10 11:00,time,8785.45,8873.63,8038.23,88.18,875.95,9.97
32,BUY,2020-03-10 12:00,2020-03-10 13:00,2020-03-10 13:00,sl,8133.62,8019.79,8019.79,113.83,,
33,SELL,2020-03-11 17:00,2020-03-11 18:00,2020-03-11 18:00,sl,7671.20,7785.56,7785.56,114.36,,
