id,direction,signal_time,entry_time,exit_time,outcome,entry,stop,exit,risk,net_pnl,commission
1,SELL,2020-01-02 17:00,2020-01-02 18:00,2020-01-03 04:00,sl,6970.04,7036.35,7036.35,66.31,-110.56,10.56
2,BUY,2020-01-03 09:00,2020-01-03 10:00,2020-01-03 14:00,sl,7349.30,7241.54,7241.54,107.76,-105.59,6.70
3,BUY,2020-01-03 16:00,2020-01-03 17:00,2020-01-03 21:00,sl,7388.21,7271.32,7271.32,116.89,-103.97,6.14
4,BUY,2020-01-06 22:00,2020-01-06 23:00,2020-01-08 17:00,time,7712.58,7631.99,8115.00,80.59,473.87,9.51
5,SELL,2020-01-09 16:00,2020-01-09 17:00,2020-01-09 19:00,sl,7818.15,7921.34,7921.34,103.19,-109.28,7.74
6,SELL,2020-01-10 05:00,2020-01-10 06:00,2020-01-10 12:00,sl,7748.00,7854.72,7854.72,106.72,-107.79,7.34
7,BUY,2020-01-11 01:00,2020-01-11 02:00,2020-01-11 05:00,sl,8204.84,8048.50,8048.50,156.34,-104.53,5.17
8,BUY,2020-01-14 04:00,2020-01-14 05:00,2020-01-16 02:00,time,8523.92,8429.81,8663.63,94.11,136.99,8.98
9,SELL,2020-01-23 05:00,2020-01-23 06:00,2020-01-24 14:00,time,8562.88,8631.02,8466.89,68.14,127.98,12.46
10,BUY,2020-01-27 00:00,2020-01-27 01:00,2020-01-27 08:00,sl,8666.84,8586.01,8586.01,80.83,-111.75,10.78
11,BUY,2020-01-27 11:00,2020-01-27 12:00,2020-02-01 13:00,time,8735.67,8649.00,9311.64,86.67,653.15,10.40
12,BUY,2020-02-03 01:00,2020-02-03 02:00,2020-02-03 02:00,sl,9510.76,9414.86,9414.86,95.90,,
13,BUY,2020-02-05 11:00,2020-02-05 12:00,2020-02-08 03:00,time,9419.17,9344.11,9729.08,75.06,425.45,13.56
14,BUY,2020-02-09 03:00,2020-02-09 04:00,2020-02-10 05:00,sl,10052.66,9971.16,9971.16,81.50,-124.17,13.59
15,BUY,2020-02-11 16:00,2020-02-11 17:00,2020-02-13 09:00,time,10220.22,10103.63,10260.86,116.59,28.51,9.60
16,SELL,2020-02-16 16:00,2020-02-16 17:00,2020-02-16 22:00,sl,9735.00,9848.80,9848.80,113.80,-119.06,9.43
17,BUY,2020-02-18 16:00,2020-02-18 17:00,2020-02-19 21:00,sl,9919.76,9797.10,9797.10,122.66,-117.15,8.72
18,BUY,2020-02-23 04:00,2020-02-23 05:00,2020-02-24 02:00,sl,9848.48,9783.58,9783.58,64.90,-123.49,16.22
19,SELL,2020-02-25 16:00,2020-02-25 17:00,2020-03-02 06:00,time,9308.84,9426.95,8658.01,118.11,576.23,8.07
20,BUY,2020-03-02 13:00,2020-03-02 14:00,2020-03-03 08:00,time,8828.96,8719.43,8755.64,109.53,-83.81,8.97
21,BUY,2020-03-05 11:00,2020-03-05 12:00,2020-03-06 00:00,sl,9100.59,9008.75,9008.75,91.84,-121.90,10.94
22,SELL,2020-03-08 00:00,2020-03-08 01:00,2020-03-10 11:00,time,8785.45,8873.63,8038.23,88.18,919.46,10.47
23,BUY,2020-03-10 12:00,2020-03-10 13:00,2020-03-10 13:00,sl,8133.62,8019.79,8019.79,113.83,,
24,SELL,2020-03-11 17:00,2020-03-11 18:00,2020-03-11 18:00,sl,7671.20,7785.56,7785.56,114.36,,
25,SELL,2020-03-12 23:00,2020-03-13 00:00,2020-03-13 03:00,sl,4800.01,5369.09,5369.09,569.08,-119.91,1.06
26,SELL,2020-03-16 07:00,2020-03-16 08:00,2020-03-16 14:00,sl,4789.99,5074.70,5074.70,284.71,-119.69,2.04
27,BUY,2020-03-19 12:00,2020-03-19 13:00,2020-03-19 13:00,sl,5848.71,5692.85,5692.85,155.86,,
28,BUY,2020-03-19 15:00,2020-03-19 16:00,2020-03-20 20:00,sl,5895.71,5728.41,5728.41,167.30,-120.48,4.04
29,BUY,2020-03-24 08:00,2020-03-24 09:00,2020-03-24 15:00,sl,6712.09,6480.96,6480.96,231.13,-118.52,3.29
30,SELL,2020-03-28 03:00,2020-03-28 04:00,2020-03-28 08:00,sl,6116.88,6243.36,6243.36,126.48,-119.62,5.57
31,SELL,2020-03-28 17:00,2020-03-28 18:00,2020-03-28 18:00,sl,6024.16,6171.92,6171.92,147.76,,
32,BUY,2020-03-30 11:00,2020-03-30 12:00,2020-04-01 01:00,time,6355.55,6229.04,6305.50,126.51,-50.28,5.65
33,BUY,2020-04-01 23:00,2020-04-02 00:00,2020-04-03 16:00,time,6643.36,6525.59,6713.34,117.77,60.37,6.37
