id,direction,signal_time,entry_time,exit_time,outcome,entry,stop,exit,risk,net_pnl,commission
1,BUY,2024-01-01 18:00,2024-01-01 19:00,2024-01-02 21:00,time,43111.10,42803.64,44788.27,307.46,531.20,14.29
2,SELL,2024-01-03 11:00,2024-01-03 12:00,2024-01-04 13:00,time,43702.89,44290.65,43378.11,587.76,100.78,15.60
3,BUY,2024-01-08 12:00,2024-01-08 13:00,2024-01-09 13:00,time,45111.10,44554.51,46166.36,556.59,385.71,17.44
4,BUY,2024-01-11 14:00,2024-01-11 15:00,2024-01-11 15:00,sl,48571.21,47579.68,47579.68,991.53,,
5,BUY,2024-01-12 15:00,2024-01-12 16:00,2024-01-12 16:00,sl,44462.00,43822.12,43822.12,639.88,,
6,BUY,2024-01-12 22:00,2024-01-12 23:00,2024-01-14 05:00,time,42509.99,41613.94,42580.00,896.05,6.75,10.45
7,SELL,2024-01-14 23:00,2024-01-15 00:00,2024-01-15 00:00,sl,41732.35,42130.89,42130.89,398.54,,
8,BUY,2024-01-18 16:00,2024-01-18 17:00,2024-01-18 17:00,sl,41948.99,41603.59,41603.59,345.40,,
9,BUY,2024-01-18 19:00,2024-01-18 20:00,2024-01-19 16:00,sl,41022.33,40577.75,40577.75,444.58,-239.90,20.16
10,BUY,2024-01-22 04:00,2024-01-22 05:00,2024-01-22 10:00,sl,40786.41,40516.20,40516.20,270.21,-61.82,8.08
11,SELL,2024-01-26 10:00,2024-01-26 11:00,2024-01-26 11:00,sl,40692.64,41041.15,41041.15,348.51,,
12,SELL,2024-01-28 04:00,2024-01-28 05:00,2024-01-29 16:00,time,42720.33,42960.38,42641.75,240.05,7.99,9.50
13,BUY,2024-01-29 16:00,2024-01-29 17:00,2024-01-30 23:00,sl,43200.01,42754.54,42754.54,445.47,-234.42,20.63
14,BUY,2024-02-04 06:00,2024-02-04 07:00,2024-02-04 19:00,sl,42746.13,42575.89,42575.89,170.24,-65.38,13.10
15,SELL,2024-02-07 20:00,2024-02-07 21:00,2024-02-08 00:00,sl,44131.37,44486.85,44486.85,355.48,-58.42,6.48
16,SELL,2024-02-09 02:00,2024-02-09 03:00,2024-02-09 09:00,time,46285.22,46737.64,46640.00,452.42,-45.81,5.31
17,SELL,2024-02-09 11:00,2024-02-09 12:00,2024-02-09 12:00,sl,47180.01,47680.99,47680.99,500.98,,
18,SELL,2024-02-11 03:00,2024-02-11 04:00,2024-02-12 01:00,time,48519.60,48938.21,48604.01,418.61,-16.33,5.96
19,SELL,2024-02-12 15:00,2024-02-12 16:00,2024-02-14 08:00,time,49917.80,50446.43,49838.93,528.63,2.82,4.84
20,BUY,2024-02-14 08:00,2024-02-14 09:00,2024-02-15 22:00,time,50758.00,50092.84,51327.27,665.16,160.02,15.76
21,SELL,2024-02-17 13:00,2024-02-17 14:00,2024-02-17 20:00,sl,51188.80,51484.57,51484.57,295.77,-244.80,36.21
22,SELL,2024-02-20 13:00,2024-02-20 14:00,2024-02-22 00:00,time,52840.14,53266.19,51849.38,426.05,112.17,6.26
23,BUY,2024-02-24 17:00,2024-02-24 18:00,2024-02-25 17:00,time,51533.99,51261.32,51378.49,272.67,-156.31,38.86
24,BUY,2024-02-26 09:00,2024-02-26 10:00,2024-02-29 18:00,time,50950.00,50651.25,60982.35,298.75,1693.20,9.50
25,BUY,2024-03-04 08:00,2024-03-04 09:00,2024-03-05 17:00,sl,65241.08,64374.75,64374.75,866.33,-254.38,17.71
26,BUY,2024-03-05 19:00,2024-03-05 20:00,2024-03-10 23:00,time,61410.98,59189.18,68418.59,2221.80,180.92,1.69
27,BUY,2024-03-11 07:00,2024-03-11 08:00,2024-03-12 17:00,time,71019.99,70046.51,70507.38,973.48,-140.95,17.10
28,BUY,2024-03-22 13:00,2024-03-22 14:00,2024-03-22 15:00,time,63058.61,61984.81,62739.99,1073.80,-20.64,3.40
29,SELL,2024-03-25 14:00,2024-03-25 15:00,2024-03-25 16:00,time,69377.20,70303.34,69792.06,926.14,-30.34,4.36
30,BUY,2024-04-01 05:00,2024-04-01 06:00,2024-04-01 15:00,sl,69167.47,68609.59,68609.59,557.88,-64.99,7.14
31,BUY,2024-04-02 02:00,2024-04-02 03:00,2024-04-02 09:00,sl,66996.01,66014.41,66014.41,981.60,-61.41,3.90
32,SELL,2024-04-04 17:00,2024-04-04 18:00,2024-04-06 23:00,time,68849.18,69599.97,69056.00,750.79,-21.01,5.25
33,SELL,2024-04-08 08:00,2024-04-08 09:00,2024-04-08 10:00,time,71968.00,72741.65,72197.26,773.65,-22.24,5.32
34,BUY,2024-04-12 17:00,2024-04-12 18:00,2024-04-12 18:00,sl,68140.01,67391.95,67391.95,748.06,,
35,BUY,2024-04-13 20:00,2024-04-13 21:00,2024-04-15 15:00,time,61816.01,60478.07,64235.25,1337.94,100.35,2.68
36,SELL,2024-04-24 14:00,2024-04-24 15:00,2024-04-25 18:00,time,65234.86,65808.50,64703.99,573.64,186.75,26.04
37,SELL,2024-04-30 19:00,2024-04-30 20:00,2024-04-30 21:00,sl,59292.95,60320.72,60320.72,1027.77,-247.27,13.60
38,BUY,2024-05-01 07:00,2024-05-01 08:00,2024-05-06 13:00,time,57500.00,56392.51,63593.99,1107.49,311.51,3.13
39,BUY,2024-05-13 07:00,2024-05-13 08:00,2024-05-14 06:00,sl,62334.36,61765.19,61765.19,569.17,-260.57,25.61
40,SELL,2024-05-15 12:00,2024-05-15 13:00,2024-05-15 13:00,sl,63757.57,64371.79,64371.79,614.22,,
