variant,window,return,max_dd,n,net_wr,pf,balance,calmar
baseline,2020-2023,9.470005,-0.278874,686,0.259475,1.434505,104700.05,33.958044
brk1.0,2020-2023,6.799292,-0.210767,293,0.307167,1.876946,77992.92,32.259768
ls5_24,2020-2023,11.095612,-0.259425,659,0.264036,1.529565,120956.12,42.769979
adaptive_only,2020-2023,12.381650,-0.341597,686,0.259475,1.633434,133816.50,36.246372
ial+adaptive,2020-2023,3.393442,-0.285117,774,0.272610,1.342546,43934.42,11.901938
ls5_24+brk1.0,2020-2023,5.444377,-0.210767,285,0.294737,1.813466,64443.77,25.831268
ls5_24+adaptive,2020-2023,12.498193,-0.338484,659,0.264036,1.684597,134981.93,36.923986
ls5_24+ial+adaptive,2020-2023,2.509627,-0.274925,721,0.274619,1.324522,35096.27,9.128400
ls5_24+brk1.0+adaptive,2020-2023,5.878594,-0.165939,285,0.294737,2.171170,68785.94,35.426297
ls5_24+brk1.0+ial+adaptive,2020-2023,1.944932,-0.234050,307,0.267101,1.654045,29449.32,8.309896
risk0.5_after_3,2020-2023,5.394587,-0.198645,687,0.257642,1.564292,63945.87,27.156947
