id,direction,signal_time,entry_time,exit_time,outcome,entry,stop,exit,risk,net_pnl,commission
1,SELL,2020-01-02 16:00,2020-01-02 17:00,2020-01-03 04:00,sl,7052.32,7110.19,7110.19,57.87,-112.24,12.24
2,BUY,2020-01-05 01:00,2020-01-05 02:00,2020-01-05 21:00,sl,7459.91,7391.82,7391.82,68.09,-54.83,5.39
3,BUY,2020-01-06 02:00,2020-01-06 03:00,2020-01-06 13:00,sl,7551.47,7484.10,7484.10,67.37,-54.65,5.49
4,BUY,2020-01-06 22:00,2020-01-06 23:00,2020-01-08 17:00,time,7712.58,7631.99,8115.00,80.59,239.34,4.80
5,BUY,2020-01-14 00:00,2020-01-14 01:00,2020-01-16 02:00,time,8270.01,8197.16,8663.63,72.85,1059.29,23.29
6,BUY,2020-01-19 01:00,2020-01-19 02:00,2020-01-19 06:00,sl,9146.91,9058.72,9058.72,88.19,-244.41,22.87
7,SELL,2020-01-19 11:00,2020-01-19 12:00,2020-01-21 21:00,time,8681.16,8806.77,8719.98,125.61,-20.49,3.75
8,SELL,2020-01-23 09:00,2020-01-23 10:00,2020-01-24 14:00,time,8440.84,8526.35,8466.89,85.51,-21.81,5.34
9,BUY,2020-01-26 17:00,2020-01-26 18:00,2020-02-01 13:00,time,8578.85,8503.47,9311.64,75.38,518.05,6.40
10,BUY,2020-02-05 10:00,2020-02-05 11:00,2020-02-08 03:00,time,9383.46,9305.79,9729.08,77.67,978.58,27.83
11,BUY,2020-02-09 03:00,2020-02-09 04:00,2020-02-10 05:00,sl,10052.66,9971.16,9971.16,81.50,-275.92,30.19
12,BUY,2020-02-11 15:00,2020-02-11 16:00,2020-02-13 09:00,time,10165.00,10055.67,10260.86,109.33,47.05,5.61
13,SELL,2020-02-15 15:00,2020-02-15 16:00,2020-02-15 16:00,sl,9983.24,10087.14,10087.14,103.90,,
14,BUY,2020-02-18 20:00,2020-02-18 21:00,2020-02-19 07:00,sl,10156.22,10029.40,10029.40,126.82,-260.10,19.17
15,BUY,2020-02-23 03:00,2020-02-23 04:00,2020-02-24 02:00,sl,9786.50,9726.46,9726.46,60.04,-68.51,9.58
16,SELL,2020-02-26 16:00,2020-02-26 17:00,2020-02-27 12:00,sl,8750.16,8935.20,8935.20,185.04,-61.39,2.80
17,BUY,2020-03-05 09:00,2020-03-05 10:00,2020-03-07 17:00,time,9080.08,8981.49,9038.86,98.59,-29.72,5.36
18,SELL,2020-03-08 23:00,2020-03-09 00:00,2020-03-09 00:00,sl,8034.76,8170.27,8170.27,135.51,,
19,SELL,2020-03-12 10:00,2020-03-12 11:00,2020-03-12 11:00,sl,6014.90,6326.42,6326.42,311.52,,
20,SELL,2020-03-12 23:00,2020-03-13 00:00,2020-03-13 03:00,sl,4800.01,5369.09,5369.09,569.08,-58.64,0.52
21,BUY,2020-03-15 21:00,2020-03-15 22:00,2020-03-15 22:00,sl,5906.85,5701.33,5701.33,205.52,,
22,SELL,2020-03-16 10:00,2020-03-16 11:00,2020-03-16 12:00,sl,4452.85,4748.49,4748.49,295.64,-58.72,0.90
23,BUY,2020-03-19 09:00,2020-03-19 10:00,2020-03-20 21:00,time,5594.99,5439.17,5970.09,155.82,136.35,2.13
24,SELL,2020-03-27 23:00,2020-03-28 00:00,2020-03-30 06:00,time,6359.11,6476.90,6202.98,117.79,296.22,12.42
25,BUY,2020-04-02 17:00,2020-04-02 18:00,2020-04-02 18:00,sl,7084.00,6923.99,6923.99,160.01,,
26,BUY,2020-04-06 06:00,2020-04-06 07:00,2020-04-06 07:00,sl,7078.99,6979.67,6979.67,99.32,,
27,SELL,2020-04-10 05:00,2020-04-10 06:00,2020-04-12 13:00,time,6954.69,7072.50,6910.03,117.81,76.38,14.03
28,BUY,2020-04-12 16:00,2020-04-12 17:00,2020-04-12 17:00,sl,7142.62,7062.48,7062.48,80.14,,
29,SELL,2020-04-15 23:00,2020-04-16 00:00,2020-04-16 07:00,sl,6621.25,6700.88,6700.88,79.63,-259.87,20.06
30,BUY,2020-04-18 13:00,2020-04-18 14:00,2020-04-18 16:00,sl,7237.13,7165.80,7165.80,71.33,-64.58,5.92
31,BUY,2020-04-22 13:00,2020-04-22 14:00,2020-04-23 07:00,time,7061.97,6993.02,7039.95,68.95,-24.59,5.97
32,BUY,2020-04-23 14:00,2020-04-23 15:00,2020-04-23 23:00,sl,7537.27,7424.64,7424.64,112.63,-62.07,3.87
33,BUY,2020-04-29 06:00,2020-04-29 07:00,2020-05-03 15:00,time,7945.39,7873.13,8768.55,72.26,652.85,6.70
34,BUY,2020-05-06 10:00,2020-05-06 11:00,2020-05-06 23:00,sl,9227.51,9104.87,9104.87,122.64,-262.93,18.29
35,BUY,2020-05-07 17:00,2020-05-07 18:00,2020-05-09 06:00,sl,9832.08,9638.43,9638.43,193.65,-62.86,3.01
36,SELL,2020-05-10 00:00,2020-05-10 01:00,2020-05-11 11:00,sl,8703.56,8966.32,8966.32,262.76,-61.53,2.00
37,BUY,2020-05-13 20:00,2020-05-13 21:00,2020-05-15 03:00,time,9285.00,9157.26,9490.10,127.74,90.74,4.35
38,BUY,2020-05-17 12:00,2020-05-17 13:00,2020-05-17 22:00,sl,9768.75,9633.51,9633.51,135.24,-255.84,17.12
39,SELL,2020-05-20 15:00,2020-05-20 16:00,2020-05-20 17:00,sl,9414.51,9546.99,9546.99,132.48,-62.58,4.18
40,SELL,2020-05-21 14:00,2020-05-21 15:00,2020-05-22 11:00,time,9084.14,9238.32,9164.63,154.18,-33.76,3.44
41,SELL,2020-05-24 23:00,2020-05-25 00:00,2020-05-25 07:00,sl,8718.14,8857.84,8857.84,139.70,-61.56,3.64
42,BUY,2020-05-27 10:00,2020-05-27 11:00,2020-05-29 11:00,time,9128.10,9027.47,9365.00,100.63,130.33,5.29
43,BUY,2020-05-30 22:00,2020-05-30 23:00,2020-05-31 02:00,sl,9729.00,9623.82,9623.82,105.18,-254.49,21.44
44,BUY,2020-06-01 23:00,2020-06-02 00:00,2020-06-02 01:00,sl,10202.71,10074.58,10074.58,128.13,-61.50,4.51
45,BUY,2020-06-04 13:00,2020-06-04 14:00,2020-06-05 08:00,sl,9762.28,9656.16,9656.16,106.12,-61.87,5.19
46,SELL,2020-06-11 16:00,2020-06-11 17:00,2020-06-11 17:00,sl,9117.01,9249.81,9249.81,132.80,,
47,SELL,2020-06-15 03:00,2020-06-15 04:00,2020-06-15 15:00,sl,9164.09,9256.98,9256.98,92.89,-61.95,5.59
48,SELL,2020-06-17 19:00,2020-06-17 20:00,2020-06-17 20:00,sl,9302.13,9386.40,9386.40,84.27,,
49,BUY,2020-06-22 16:00,2020-06-22 17:00,2020-06-24 07:00,sl,9584.73,9515.33,9515.33,69.40,-63.75,7.71
50,SELL,2020-06-24 10:00,2020-06-24 11:00,2020-06-28 15:00,time,9378.20,9459.19,9154.00,80.99,147.86,6.37
51,SELL,2020-07-02 15:00,2020-07-02 16:00,2020-07-02 21:00,sl,9048.92,9111.81,9111.81,62.89,-258.44,32.60
52,BUY,2020-07-04 17:00,2020-07-04 18:00,2020-07-04 18:00,sl,9169.75,9126.98,9126.98,42.77,,
53,BUY,2020-07-06 06:00,2020-07-06 07:00,2020-07-07 10:00,time,9224.48,9159.85,9228.27,64.63,-4.64,7.87
54,BUY,2020-07-08 13:00,2020-07-08 14:00,2020-07-09 02:00,sl,9435.80,9371.99,9371.99,63.81,-63.24,8.12
