id,direction,signal_time,entry_time,exit_time,outcome,entry,stop,exit,risk,net_pnl,commission
1,SELL,2020-01-02 16:00,2020-01-02 17:00,2020-01-03 04:00,sl,7052.32,7110.19,7110.19,57.87,-112.24,12.24
2,SELL,2020-01-05 01:00,2020-01-05 02:00,2020-01-06 02:00,sl,7459.91,7528.00,7528.00,68.09,-54.88,5.44
3,SELL,2020-01-06 22:00,2020-01-06 23:00,2020-01-06 23:00,sl,7712.58,7793.17,7793.17,80.59,,
4,SELL,2020-01-07 00:00,2020-01-07 01:00,2020-01-07 18:00,sl,7889.64,7986.35,7986.35,96.71,-53.19,4.03
5,SELL,2020-01-08 00:00,2020-01-08 01:00,2020-01-10 13:00,time,8430.53,8591.66,7893.98,161.13,160.31,2.48
6,BUY,2020-01-14 00:00,2020-01-14 01:00,2020-01-16 02:00,time,8270.01,8197.16,8663.63,72.85,1050.83,23.10
7,BUY,2020-01-19 01:00,2020-01-19 02:00,2020-01-19 06:00,sl,9146.91,9058.72,9058.72,88.19,-242.45,22.68
8,BUY,2020-01-19 11:00,2020-01-19 12:00,2020-01-19 22:00,sl,8681.16,8555.55,8555.55,125.61,-57.42,3.69
9,BUY,2020-01-23 09:00,2020-01-23 10:00,2020-01-23 13:00,sl,8440.84,8355.33,8355.33,85.51,-58.69,5.25
10,SELL,2020-01-26 17:00,2020-01-26 18:00,2020-01-27 00:00,sl,8578.85,8654.23,8654.23,75.38,-59.22,6.08
11,SELL,2020-01-27 18:00,2020-01-27 19:00,2020-01-27 19:00,sl,8884.51,8973.78,8973.78,89.27,,
12,SELL,2020-01-28 23:00,2020-01-29 00:00,2020-01-30 18:00,sl,9375.34,9529.23,9529.23,153.89,-56.09,3.25
13,SELL,2020-02-05 10:00,2020-02-05 11:00,2020-02-05 12:00,time,9383.46,9461.13,9419.17,77.67,-30.53,6.36
14,SELL,2020-02-05 16:00,2020-02-05 17:00,2020-02-05 18:00,sl,9563.00,9646.85,9646.85,83.85,-58.41,6.00
15,SELL,2020-02-06 12:00,2020-02-06 13:00,2020-02-08 22:00,time,9825.21,9940.02,9913.02,114.81,-44.34,4.48
16,SELL,2020-02-09 03:00,2020-02-09 04:00,2020-02-09 05:00,time,10052.66,10134.16,10091.85,81.50,-31.37,6.41
17,SELL,2020-02-11 15:00,2020-02-11 16:00,2020-02-11 16:00,sl,10165.00,10274.33,10274.33,109.33,,
18,BUY,2020-02-15 15:00,2020-02-15 16:00,2020-02-15 16:00,sl,9983.24,9879.34,9879.34,103.90,,
19,SELL,2020-02-18 20:00,2020-02-18 21:00,2020-02-21 04:00,time,10156.22,10283.04,9707.39,126.82,178.96,4.05
20,BUY,2020-02-23 03:00,2020-02-23 04:00,2020-02-24 02:00,sl,9786.50,9726.46,9726.46,60.04,-244.62,34.20
21,BUY,2020-02-26 16:00,2020-02-26 17:00,2020-02-27 01:00,sl,8750.16,8565.12,8565.12,185.04,-53.79,2.40
22,SELL,2020-03-05 09:00,2020-03-05 10:00,2020-03-05 12:00,time,9080.08,9178.67,9100.59,98.59,-15.35,4.71
23,BUY,2020-03-07 17:00,2020-03-07 18:00,2020-03-07 18:00,sl,8925.00,8848.69,8848.69,76.31,,
24,BUY,2020-03-08 15:00,2020-03-08 16:00,2020-03-08 16:00,sl,8400.85,8298.98,8298.98,101.87,,
25,BUY,2020-03-12 10:00,2020-03-12 11:00,2020-03-12 20:00,sl,6014.90,5703.38,5703.38,311.52,-51.97,0.96
26,BUY,2020-03-12 23:00,2020-03-13 00:00,2020-03-13 01:00,sl,4800.01,4230.93,4230.93,569.08,-51.16,0.40
27,SELL,2020-03-15 21:00,2020-03-15 22:00,2020-03-19 10:00,time,5906.85,6112.37,5594.99,205.52,75.21,1.41
28,BUY,2020-03-19 12:00,2020-03-19 13:00,2020-03-19 13:00,sl,5848.71,5692.85,5692.85,155.86,,
29,SELL,2020-03-19 16:00,2020-03-19 17:00,2020-03-19 18:00,time,6163.79,6361.75,6307.34,197.96,-153.91,6.41
30,SELL,2020-03-20 08:00,2020-03-20 09:00,2020-03-20 10:00,sl,6601.45,6853.71,6853.71,252.26,-51.42,1.34
31,BUY,2020-03-27 23:00,2020-03-28 00:00,2020-03-28 00:00,sl,6359.11,6241.32,6241.32,117.79,,
32,BUY,2020-03-29 19:00,2020-03-29 20:00,2020-04-01 01:00,time,5906.39,5810.48,6305.50,95.91,204.15,3.17
33,BUY,2020-04-02 17:00,2020-04-02 18:00,2020-04-02 18:00,sl,7084.00,6923.99,6923.99,160.01,,
34,SELL,2020-04-06 06:00,2020-04-06 07:00,2020-04-06 10:00,time,7078.99,7178.31,7102.94,99.32,-63.53,14.51
35,BUY,2020-04-10 05:00,2020-04-10 06:00,2020-04-10 13:00,sl,6954.69,6836.88,6836.88,117.81,-53.46,2.96
36,SELL,2020-04-12 16:00,2020-04-12 17:00,2020-04-16 08:00,time,7142.62,7222.76,6893.24,80.14,151.92,4.40
37,BUY,2020-04-18 13:00,2020-04-18 14:00,2020-04-18 16:00,sl,7237.13,7165.80,7165.80,71.33,-224.57,20.59
38,SELL,2020-04-22 13:00,2020-04-22 14:00,2020-04-22 14:00,sl,7061.97,7130.92,7130.92,68.95,,
39,SELL,2020-04-23 14:00,2020-04-23 15:00,2020-04-25 06:00,time,7537.27,7649.90,7564.74,112.63,-15.50,3.34
40,SELL,2020-04-29 06:00,2020-04-29 07:00,2020-04-29 10:00,time,7945.39,8017.65,7977.89,72.26,-27.87,5.48
41,SELL,2020-04-29 10:00,2020-04-29 11:00,2020-04-29 12:00,sl,8109.29,8193.14,8193.14,83.85,-54.47,4.83
42,SELL,2020-05-03 00:00,2020-05-03 01:00,2020-05-04 21:00,time,9124.42,9233.49,8901.81,109.07,96.68,4.08
43,BUY,2020-05-06 10:00,2020-05-06 11:00,2020-05-06 23:00,sl,9227.51,9104.87,9104.87,122.64,-214.31,14.90
44,SELL,2020-05-07 17:00,2020-05-07 18:00,2020-05-07 23:00,sl,9832.08,10025.73,10025.73,193.65,-51.28,2.50
45,BUY,2020-05-10 00:00,2020-05-10 01:00,2020-05-10 03:00,sl,8703.56,8440.80,8440.80,262.76,-50.11,1.58
46,SELL,2020-05-13 20:00,2020-05-13 21:00,2020-05-13 22:00,time,9285.00,9412.74,9347.52,127.74,-27.15,3.52
47,SELL,2020-05-14 09:00,2020-05-14 10:00,2020-05-17 13:00,time,9803.44,9967.48,9768.75,164.04,7.31,2.87
48,SELL,2020-05-20 15:00,2020-05-20 16:00,2020-05-20 17:00,sl,9414.51,9546.99,9546.99,132.48,-206.49,13.79
49,BUY,2020-05-21 14:00,2020-05-21 15:00,2020-05-21 18:00,sl,9084.14,8929.96,8929.96,154.18,-49.90,2.75
50,BUY,2020-05-24 23:00,2020-05-25 00:00,2020-05-26 13:00,time,8718.14,8578.44,8816.76,139.70,30.16,2.94
51,BUY,2020-05-27 10:00,2020-05-27 11:00,2020-05-29 11:00,time,9128.10,9027.47,9365.00,100.63,425.72,17.29
52,BUY,2020-05-30 22:00,2020-05-30 23:00,2020-05-31 02:00,sl,9729.00,9623.82,9623.82,105.18,-214.78,18.09
53,SELL,2020-06-01 23:00,2020-06-02 00:00,2020-06-03 11:00,time,10202.71,10330.84,9591.77,128.13,225.63,3.72
54,BUY,2020-06-04 13:00,2020-06-04 14:00,2020-06-05 08:00,sl,9762.28,9656.16,9656.16,106.12,-214.92,18.01
55,BUY,2020-06-11 16:00,2020-06-11 17:00,2020-06-14 15:00,time,9117.01,8984.21,9347.64,132.80,80.27,3.35
56,SELL,2020-06-15 03:00,2020-06-15 04:00,2020-06-15 15:00,sl,9164.09,9256.98,9256.98,92.89,-213.47,19.26
57,BUY,2020-06-17 19:00,2020-06-17 20:00,2020-06-19 02:00,sl,9302.13,9217.86,9217.86,84.27,-52.70,5.22
58,SELL,2020-06-22 16:00,2020-06-22 17:00,2020-06-22 20:00,sl,9584.73,9654.13,9654.13,69.40,-53.77,6.55
59,BUY,2020-06-24 07:00,2020-06-24 08:00,2020-06-24 10:00,sl,9512.82,9447.80,9447.80,65.02,-53.80,6.85
60,BUY,2020-06-25 03:00,2020-06-25 04:00,2020-06-26 08:00,time,9100.13,8975.67,9147.20,124.46,14.23,3.42
61,SELL,2020-06-27 19:00,2020-06-27 20:00,2020-06-27 21:00,sl,8937.45,9025.15,9025.15,87.70,-206.18,19.15
62,BUY,2020-07-02 15:00,2020-07-02 16:00,2020-07-02 16:00,sl,9048.92,8986.03,8986.03,62.89,,
63,SELL,2020-07-04 17:00,2020-07-04 18:00,2020-07-06 06:00,sl,9169.75,9212.52,9212.52,42.77,-55.53,9.82
64,SELL,2020-07-08 13:00,2020-07-08 14:00,2020-07-10 16:00,time,9435.80,9499.61,9245.91,63.81,128.54,6.65
65,BUY,2020-07-21 07:00,2020-07-21 08:00,2020-07-22 07:00,sl,9315.28,9268.74,9268.74,46.54,-221.09,36.79
66,SELL,2020-07-22 22:00,2020-07-22 23:00,2020-07-23 14:00,sl,9500.00,9555.55,9555.55,55.55,-52.68,7.71
67,SELL,2020-07-25 17:00,2020-07-25 18:00,2020-07-25 21:00,time,9688.49,9752.76,9713.90,64.27,-24.42,6.75
68,SELL,2020-07-26 09:00,2020-07-26 10:00,2020-07-26 10:00,sl,9837.58,9909.47,9909.47,71.89,,
69,SELL,2020-07-27 03:00,2020-07-27 04:00,2020-07-27 14:00,time,10248.85,10394.31,10353.90,145.46,-35.34,3.16
70,SELL,2020-07-31 15:00,2020-07-31 16:00,2020-08-01 05:00,sl,11346.89,11475.16,11475.16,128.27,-48.34,3.95
71,SELL,2020-08-05 12:00,2020-08-05 13:00,2020-08-05 14:00,time,11563.44,11673.61,11610.00,110.17,-23.30,4.64
72,SELL,2020-08-10 02:00,2020-08-10 03:00,2020-08-12 11:00,time,11996.47,12113.99,11515.24,117.52,175.90,4.40
73,BUY,2020-08-17 13:00,2020-08-17 14:00,2020-08-18 12:00,time,12119.50,11999.51,12165.76,119.99,51.08,18.18
74,BUY,2020-09-01 15:00,2020-09-01 16:00,2020-09-01 23:00,sl,12039.33,11917.84,11917.84,121.49,-198.48,17.81
75,BUY,2020-09-02 11:00,2020-09-02 12:00,2020-09-02 14:00,sl,11406.01,11257.50,11257.50,148.51,-47.55,3.37
76,BUY,2020-09-03 12:00,2020-09-03 13:00,2020-09-03 15:00,sl,10818.92,10649.43,10649.43,169.49,-46.72,2.78
77,BUY,2020-09-03 23:00,2020-09-04 00:00,2020-09-05 09:00,time,10138.29,9855.36,10321.98,282.93,26.79,1.58
78,BUY,2020-09-12 18:00,2020-09-12 19:00,2020-09-13 11:00,sl,10452.00,10389.10,10389.10,62.90,-204.40,29.05
79,SELL,2020-09-14 13:00,2020-09-14 14:00,2020-09-14 16:00,time,10643.64,10741.37,10698.03,97.73,-28.50,4.68
80,SELL,2020-09-19 11:00,2020-09-19 12:00,2020-09-22 22:00,time,11139.69,11218.98,10547.17,79.29,313.05,5.84
81,SELL,2020-09-23 19:00,2020-09-23 20:00,2020-09-24 10:00,sl,10293.00,10368.18,10368.18,75.18,-201.27,24.32
82,SELL,2020-09-24 16:00,2020-09-24 17:00,2020-09-24 22:00,sl,10672.20,10778.50,10778.50,106.30,-47.59,4.36
83,SELL,2020-09-28 00:00,2020-09-28 01:00,2020-09-30 00:00,time,10888.68,10981.68,10840.58,93.00,17.21,5.02
84,SELL,2020-10-01 16:00,2020-10-01 17:00,2020-10-01 19:00,sl,10522.72,10622.09,10622.09,99.37,-190.65,18.33
85,SELL,2020-10-08 13:00,2020-10-08 14:00,2020-10-08 14:00,sl,10736.72,10794.50,10794.50,57.78,,
86,SELL,2020-10-10 02:00,2020-10-10 03:00,2020-10-10 03:00,sl,11384.20,11481.36,11481.36,97.16,,
87,SELL,2020-10-12 21:00,2020-10-12 22:00,2020-10-14 14:00,time,11684.16,11792.58,11530.98,108.42,54.97,4.51
88,BUY,2020-10-18 06:00,2020-10-18 07:00,2020-10-23 17:00,time,11450.23,11392.73,12788.19,57.50,3907.66,35.72
89,BUY,2020-10-25 03:00,2020-10-25 04:00,2020-10-25 05:00,sl,13295.50,13187.84,13187.84,107.66,-278.09,30.46
90,SELL,2020-10-27 11:00,2020-10-27 12:00,2020-10-27 15:00,sl,13449.80,13591.86,13591.86,142.06,-66.28,5.76
91,BUY,2020-11-02 08:00,2020-11-02 09:00,2020-11-02 12:00,time,13446.65,13310.43,13402.18,136.22,-25.58,5.93
92,SELL,2020-11-03 23:00,2020-11-04 00:00,2020-11-04 17:00,time,14023.53,14193.13,14024.01,169.60,-5.14,4.97
93,SELL,2020-11-05 22:00,2020-11-05 23:00,2020-11-06 00:00,time,15532.49,15877.12,15590.02,344.63,-12.73,2.71
94,SELL,2020-11-17 16:00,2020-11-17 17:00,2020-11-17 18:00,time,17639.36,17901.56,17808.67,262.20,-42.78,4.05
95,SELL,2020-11-18 04:00,2020-11-18 05:00,2020-11-19 15:00,time,18368.87,18741.32,18116.85,372.45,37.51,2.93
96,BUY,2020-11-20 14:00,2020-11-20 15:00,2020-11-21 12:00,sl,18630.98,18354.11,18354.11,276.87,-255.78,16.01
97,SELL,2020-11-24 09:00,2020-11-24 10:00,2020-11-24 13:00,time,18983.16,19281.39,19176.05,298.23,-41.70,3.75
98,BUY,2020-11-26 03:00,2020-11-26 04:00,2020-11-26 07:00,sl,17927.98,17492.80,17492.80,435.18,-60.83,2.38
99,SELL,2020-11-29 08:00,2020-11-29 09:00,2020-11-29 22:00,time,18144.98,18415.69,18254.24,270.71,-27.38,3.91
100,SELL,2020-11-30 13:00,2020-11-30 14:00,2020-11-30 14:00,sl,19151.49,19425.35,19425.35,273.86,,
101,BUY,2020-12-08 22:00,2020-12-08 23:00,2020-12-09 01:00,time,18336.50,18078.97,18180.00,257.53,-39.36,4.11
102,SELL,2020-12-12 18:00,2020-12-12 19:00,2020-12-12 20:00,time,18687.63,18881.48,18805.29,193.85,-40.68,5.59
103,SELL,2020-12-13 07:00,2020-12-13 08:00,2020-12-15 01:00,time,19249.21,19455.38,19394.94,206.17,-46.12,5.40
104,SELL,2020-12-16 10:00,2020-12-16 11:00,2020-12-16 13:00,sl,19798.18,19980.47,19980.47,182.29,-63.63,6.26
105,SELL,2020-12-16 14:00,2020-12-16 15:00,2020-12-16 17:00,time,20650.01,20929.13,20854.56,279.12,-46.05,4.24
106,SELL,2020-12-19 16:00,2020-12-19 17:00,2020-12-20 16:00,time,23966.48,24337.63,23868.08,371.15,11.40,3.66
107,SELL,2020-12-21 10:00,2020-12-21 11:00,2020-12-21 18:00,sl,22446.39,22981.22,22981.22,534.83,-237.19,9.66
108,SELL,2020-12-25 11:00,2020-12-25 12:00,2020-12-26 00:00,time,24574.40,24939.43,24712.47,365.03,-24.83,3.76
109,SELL,2020-12-26 14:00,2020-12-26 15:00,2020-12-26 16:00,time,25381.20,25757.49,25629.99,376.29,-40.51,3.77
110,SELL,2020-12-26 20:00,2020-12-26 21:00,2020-12-26 21:00,sl,26417.30,26859.33,26859.33,442.03,,
111,SELL,2020-12-27 06:00,2020-12-27 07:00,2020-12-27 11:00,sl,27635.28,28236.19,28236.19,600.91,-57.93,2.57
112,SELL,2021-01-02 12:00,2021-01-02 13:00,2021-01-02 13:00,sl,30604.03,31066.80,31066.80,462.77,,
113,SELL,2021-01-02 16:00,2021-01-02 17:00,2021-01-02 18:00,sl,32484.28,33087.91,33087.91,603.63,-58.05,2.99
114,SELL,2021-01-06 04:00,2021-01-06 05:00,2021-01-06 21:00,time,35326.82,36389.76,36015.16,1062.94,-37.31,1.84
115,BUY,2021-01-15 15:00,2021-01-15 16:00,2021-01-17 08:00,time,35610.79,34404.59,34760.91,1206.20,-40.05,1.59
116,SELL,2021-01-25 03:00,2021-01-25 04:00,2021-01-25 12:00,sl,33568.17,34299.89,34299.89,731.72,-56.91,2.52
117,BUY,2021-01-27 14:00,2021-01-27 15:00,2021-01-30 04:00,time,29573.98,28704.29,33273.36,869.69,228.17,1.95
118,BUY,2021-02-02 09:00,2021-02-02 10:00,2021-02-02 11:00,sl,35334.03,34678.79,34678.79,655.24,-232.77,11.81
119,SELL,2021-02-08 12:00,2021-02-08 13:00,2021-02-08 13:00,sl,42984.07,43993.53,43993.53,1009.46,,
120,SELL,2021-02-08 23:00,2021-02-09 00:00,2021-02-09 06:00,sl,46374.86,48016.55,48016.55,1641.69,-55.63,1.55
121,SELL,2021-02-14 05:00,2021-02-14 06:00,2021-02-14 13:00,time,48929.18,49744.14,49434.05,814.96,-36.57,3.25
122,SELL,2021-02-19 15:00,2021-02-19 16:00,2021-02-19 16:00,sl,53863.82,54612.69,54612.69,748.87,,
123,SELL,2021-03-03 08:00,2021-03-03 09:00,2021-03-03 10:00,time,50909.40,51926.86,51445.31,1017.46,-30.93,2.70
124,SELL,2021-03-03 12:00,2021-03-03 13:00,2021-03-05 20:00,time,52547.23,53547.86,49285.76,1000.63,171.48,2.72
125,BUY,2021-03-09 01:00,2021-03-09 02:00,2021-03-11 09:00,time,53575.35,52498.88,54761.01,1076.47,228.32,10.93
126,BUY,2021-03-13 10:00,2021-03-13 11:00,2021-03-15 00:00,time,59448.20,58337.18,58976.08,1111.02,-106.06,11.82
127,BUY,2021-03-15 09:00,2021-03-15 10:00,2021-03-16 00:00,sl,55871.29,54450.97,54450.97,1420.32,-57.05,2.13
128,BUY,2021-03-21 09:00,2021-03-21 10:00,2021-03-22 20:00,time,55960.52,55013.01,55524.99,947.51,-28.32,3.21
129,BUY,2021-03-22 20:00,2021-03-22 21:00,2021-03-23 05:00,sl,54504.94,53452.53,53452.53,1052.41,-57.28,2.79
130,SELL,2021-03-27 16:00,2021-03-27 17:00,2021-03-27 22:00,time,56163.52,56990.66,56433.17,827.14,-21.36,3.69
131,SELL,2021-03-29 09:00,2021-03-29 10:00,2021-03-30 09:00,sl,57922.20,58881.44,58881.44,959.24,-57.39,3.29
132,SELL,2021-04-05 14:00,2021-04-05 15:00,2021-04-06 01:00,time,59173.64,59798.39,59356.23,624.75,-20.83,5.10
133,SELL,2021-04-10 04:00,2021-04-10 05:00,2021-04-12 04:00,time,61074.09,61776.01,60368.95,701.92,49.30,4.65
134,BUY,2021-04-13 08:00,2021-04-13 09:00,2021-04-14 15:00,time,62711.51,61956.01,62997.90,755.50,63.85,17.95
135,SELL,2021-04-18 03:00,2021-04-18 04:00,2021-04-18 22:00,sl,55000.01,56598.43,56598.43,1598.42,-224.66,7.58
136,SELL,2021-04-26 01:00,2021-04-26 02:00,2021-04-26 07:00,time,51920.39,53172.17,52831.99,1251.78,-40.93,2.22
137,SELL,2021-04-30 13:00,2021-04-30 14:00,2021-04-30 15:00,sl,55989.31,56767.45,56767.45,778.14,-56.78,3.84
138,SELL,2021-05-03 07:00,2021-05-03 08:00,2021-05-05 09:00,time,58787.88,59530.31,55425.02,742.43,234.46,4.05
139,SELL,2021-05-09 12:00,2021-05-09 13:00,2021-05-09 16:00,sl,56433.54,57490.40,57490.40,1056.86,-226.92,11.61
140,BUY,2021-05-12 23:00,2021-05-13 00:00,2021-05-13 00:00,sl,49537.15,47962.07,47962.07,1575.08,,
141,BUY,2021-05-19 01:00,2021-05-19 02:00,2021-05-19 03:00,time,40843.53,39446.32,40324.57,1397.21,-21.10,1.53
142,SELL,2021-06-03 05:00,2021-06-03 06:00,2021-06-03 07:00,time,38795.88,39437.83,38949.02,641.95,-15.73,3.18
143,BUY,2021-06-07 20:00,2021-06-07 21:00,2021-06-07 21:00,sl,34440.44,33758.05,33758.05,682.39,,
