scenario,fee_pct,slip_pct,rt_bps,symbol,window,return,max_dd,n,pf,wr,balance,commission,calmar
fee0_slip0,0.0,0.0,0.0,BTCUSDT,2020-2023,17.861571814209576,-0.23186213589690208,687,1.7399683863076576,0.2663755458515284,188615.71814209575,0.0,77.03531128580545
fee0_slip0,0.0,0.0,0.0,BTCUSDT,2024-2026,5.4355139660316985,-0.23307348616266377,536,1.5216091758697132,0.27798507462686567,64355.139660316985,0.0,23.321030871088492
fee0_slip0,0.0,0.0,0.0,BTCUSDT,2020-2026,40.02724081051771,-0.23186213589690208,1223,1.6765708742527243,0.2714636140637776,410272.4081051771,0.0,172.63379661229334
fee0_slip0,0.0,0.0,0.0,ETHUSDT,2020-2023,13.756750715091755,-0.20891918911177532,712,1.429734441144271,0.29213483146067415,147567.50715091755,0.0,65.84723391651525
fee0_slip0,0.0,0.0,0.0,ETHUSDT,2024-2026,4.334050098369544,-0.14013810023600348,514,1.5733746253455052,0.2918287937743191,53340.50098369544,0.0,30.926993380605744
fee0_slip0,0.0,0.0,0.0,ETHUSDT,2020-2026,33.14834850692101,-0.20891918911177532,1226,1.5056830530928904,0.29200652528548127,341483.4850692101,0.0,158.66588726412337
fee5_slip0,0.05,0.0,10.0,BTCUSDT,2020-2023,9.341309245526915,-0.2788736974994097,687,1.4326997535843076,0.2590975254730713,103413.09245526914,32207.711911172286,33.496558941513975
fee5_slip0,0.05,0.0,10.0,BTCUSDT,2024-2026,2.106646397386651,-0.3363517913974069,536,1.2730101744564593,0.26865671641791045,31066.463973866514,13766.908153076824,6.26322336097685
fee5_slip0,0.05,0.0,10.0,BTCUSDT,2020-2026,24.18961659520539,-0.2788736974994097,1223,1.3982403318466774,0.2632869991823385,251896.16595205388,101895.54313774135,86.74040188123726
fee5_slip0,0.05,0.0,10.0,ETHUSDT,2020-2023,7.281338483868694,-0.3016121501621345,712,1.2539284100773762,0.28651685393258425,82813.38483868695,34580.97720653301,24.141396425689553
fee5_slip0,0.05,0.0,10.0,ETHUSDT,2024-2026,2.3581550305228025,-0.1528957166180731,514,1.376800991072243,0.28793774319066145,33581.550305228026,7831.679893564782,15.423290349025093
fee5_slip0,0.05,0.0,10.0,ETHUSDT,2020-2026,21.450661019339915,-0.3016121501621345,1226,1.3348817605766974,0.28711256117455136,224506.61019339916,77859.25275895557,71.1200162453963
fee5_slip1,0.05,0.01,12.000000000000002,BTCUSDT,2020-2023,7.883817126662633,-0.29090705149912754,687,1.3908456162939886,0.2590975254730713,88838.17126662633,35322.42811753193,27.100811362375232
fee5_slip1,0.05,0.01,12.000000000000002,BTCUSDT,2024-2026,1.6851774400766248,-0.35529445665835235,536,1.2327549769772999,0.2667910447761194,26851.774400766248,15238.726371920719,4.743044560633477
fee5_slip1,0.05,0.01,12.000000000000002,BTCUSDT,2020-2026,21.120546983644957,-0.29090705149912754,1223,1.3521773368909868,0.2624693376941946,221205.46983644957,118850.45847208121,72.60238923327817
fee5_slip1,0.05,0.01,12.000000000000002,ETHUSDT,2020-2023,6.369880533404001,-0.3211794443131367,712,1.2336126347956395,0.28651685393258425,73698.80533404001,38699.67155121625,19.832777739018784
fee5_slip1,0.05,0.01,12.000000000000002,ETHUSDT,2024-2026,2.06114960853617,-0.15651800915445224,514,1.3422948700222912,0.28599221789883267,30611.496085361698,8898.161893582956,13.168769649390466
fee5_slip1,0.05,0.01,12.000000000000002,ETHUSDT,2020-2026,19.09006721071963,-0.3211794443131367,1226,1.3079462777415625,0.28629690048939643,200900.67210719633,88791.7317251268,59.43738787999023
fee5_slip2,0.05,0.02,14.0,BTCUSDT,2020-2023,6.694014814159947,-0.3072913433931014,687,1.3572347386314894,0.2576419213973799,76940.14814159946,37533.600685442194,21.7839355324652
fee5_slip2,0.05,0.02,14.0,BTCUSDT,2024-2026,1.3207797812438336,-0.3737028699320948,536,1.1950707289321199,0.26492537313432835,23207.797812438333,16426.875884069515,3.5343046241090716
fee5_slip2,0.05,0.02,14.0,BTCUSDT,2020-2026,17.830824117007506,-0.3072913433931014,1223,1.3035441651897866,0.2608340147179068,188308.24117007505,134078.26879421994,58.02579376340415
fee5_slip2,0.05,0.02,14.0,ETHUSDT,2020-2023,5.558867147431139,-0.3401751046036089,712,1.2144967274306022,0.28651685393258425,65588.67147431138,42141.34454403333,16.341193321329737
fee5_slip2,0.05,0.02,14.0,ETHUSDT,2024-2026,1.7903588200738731,-0.1601253834022205,514,1.3091664998023296,0.28599221789883267,27903.58820073873,9835.5439253635,11.180980691716151
fee5_slip2,0.05,0.02,14.0,ETHUSDT,2020-2026,16.525594056671206,-0.3401751046036089,1226,1.278324560284611,0.28629690048939643,175255.94056671206,97722.67980662879,48.57966921455865
fee5_slip5,0.05,0.05,20.0,BTCUSDT,2020-2023,3.9970050112823827,-0.3559061244609242,687,1.2670325508593254,0.25327510917030566,49970.050112823825,40834.02820182817,11.23050359792621
fee5_slip5,0.05,0.05,20.0,BTCUSDT,2024-2026,0.49794287557454364,-0.4413549781906526,536,1.095452858295409,0.2574626865671642,14979.428755745437,18700.231557642594,1.128214023133657
fee5_slip5,0.05,0.05,20.0,BTCUSDT,2020-2026,6.485228055860767,-0.4413549781906515,1223,1.1544152443009523,0.25511038430089944,74852.28055860767,134279.1790075093,14.693904852840136
fee5_slip5,0.05,0.05,20.0,ETHUSDT,2020-2023,3.6223745457575127,-0.3940698228133015,712,1.1634306042394515,0.2808988764044944,46223.745457575125,49199.29212502523,9.192215023969712
fee5_slip5,0.05,0.05,20.0,ETHUSDT,2024-2026,1.1131805963908454,-0.18519927294285665,514,1.2171834585233388,0.2704280155642023,21131.805963908453,11997.889458993206,6.010717961804947
fee5_slip5,0.05,0.05,20.0,ETHUSDT,2020-2026,8.78618102612271,-0.4086446811218686,1226,1.191431348550097,0.2765089722675367,97861.8102612271,104628.9949284809,21.500784011189516
fee5_slip10,0.05,0.1,30.0,BTCUSDT,2020-2023,1.4319723790883594,-0.4592015221273109,687,1.1449241043921878,0.24745269286754004,24319.723790883596,40009.50750729804,3.1183964122212853
fee5_slip10,0.05,0.1,30.0,BTCUSDT,2024-2026,-0.2785746361306658,-0.641284562369002,536,0.965063064375357,0.23880597014925373,7214.2536386933425,19875.030253955374,-0.43440097029869085
fee5_slip10,0.05,0.1,30.0,BTCUSDT,2020-2026,0.7544865585039919,-0.6531483426558615,1223,1.054770935772254,0.2436631234668847,17544.86558503992,88345.03211846306,1.1551534455956274
fee5_slip10,0.05,0.1,30.0,ETHUSDT,2020-2023,1.5784708627230173,-0.47440097541404436,712,1.095150635933225,0.27808988764044945,25784.708627230175,53627.44075622946,3.327292616431428
fee5_slip10,0.05,0.1,30.0,ETHUSDT,2024-2026,0.3291199401132152,-0.2291353463966045,514,1.0848522364016913,0.2587548638132296,13291.199401132151,14022.948814376641,1.4363560458435336
fee5_slip10,0.05,0.1,30.0,ETHUSDT,2020-2026,2.4270970386460955,-0.5675198483222521,1226,1.091219366563825,0.2699836867862969,34270.970386460955,89785.20568355595,4.276673398862217
