symbol,window,trade_id,direction,outcome,net_pnl,realized_r,consec_loss,in_streak_ge_n,same_side_run,same_side_loss_run,atr_pct,channel_atr,breakout_atr,adx,bars_held,bars_since_prev_exit
BTCUSDT,2024-2026,1,BUY,time,531.1985,5.4549,0,0,1,0,0.004755,3.9030,1.2446,18.0282,26.00,
BTCUSDT,2024-2026,2,SELL,time,50.3908,0.5526,0,0,1,0,0.008966,3.2657,2.2895,26.6232,25.00,15.00
BTCUSDT,2024-2026,3,BUY,sl,-120.5899,-1.0000,1,0,1,1,0.004758,4.0808,0.7100,10.0825,1.00,73.00
BTCUSDT,2024-2026,4,SELL,sl,-115.8329,-1.0000,2,0,1,1,0.006243,3.3552,0.7423,17.2630,3.00,12.00
BTCUSDT,2024-2026,5,BUY,time,296.8914,2.9576,0,0,1,0,0.007728,3.7848,0.4505,18.4766,25.00,6.00
BTCUSDT,2024-2026,6,SELL,sl,-112.2816,-1.0000,1,0,1,1,0.012216,5.9070,0.1432,49.0906,2.00,24.00
BTCUSDT,2024-2026,8,SELL,time,454.6507,4.3937,0,0,2,0,0.008646,8.7353,0.2427,12.7058,71.00,48.00
BTCUSDT,2024-2026,9,BUY,sl,-119.9207,-1.0000,1,0,1,1,0.007208,4.1695,0.0161,22.5704,3.00,5.00
BTCUSDT,2024-2026,10,BUY,sl,-118.5210,-1.0000,2,0,2,2,0.007273,4.3810,0.0022,11.7441,3.00,24.00
BTCUSDT,2024-2026,11,SELL,time,30.8029,0.4080,0,0,1,0,0.005489,3.1672,1.0931,21.3664,26.00,40.00
BTCUSDT,2024-2026,12,SELL,time,698.7375,6.6702,0,0,2,0,0.003542,2.8246,0.7113,11.5756,46.00,55.00
BTCUSDT,2024-2026,13,BUY,sl,-123.4090,-1.0000,1,0,1,1,0.008754,4.7981,0.2899,29.3150,3.00,11.00
BTCUSDT,2024-2026,14,BUY,time,239.7774,2.2305,0,0,2,0,0.005710,3.7074,1.2105,13.7945,22.00,45.00
BTCUSDT,2024-2026,16,BUY,sl,-126.9610,-1.0000,1,1,3,1,0.006875,3.4563,1.8612,17.5827,30.00,56.00
BTCUSDT,2024-2026,17,SELL,sl,-127.2179,-1.0000,2,1,1,1,0.006040,4.7646,0.0352,26.4456,5.00,11.00
BTCUSDT,2024-2026,18,SELL,sl,-121.7151,-1.0000,3,1,2,2,0.008977,4.0838,0.6297,27.5796,12.00,11.00
BTCUSDT,2024-2026,19,SELL,sl,-140.2173,-1.0000,4,1,3,3,0.002655,4.5597,1.0254,19.5183,2.00,65.00
BTCUSDT,2024-2026,21,BUY,sl,-123.6131,-1.0000,5,1,1,1,0.005596,4.4293,0.6114,25.1875,1.00,29.00
BTCUSDT,2024-2026,22,BUY,time,1200.9585,11.1396,0,0,2,0,0.004656,3.6634,0.4934,18.5773,65.00,51.00
BTCUSDT,2024-2026,23,BUY,sl,-135.2744,-1.0000,1,0,3,1,0.005752,4.9091,1.2528,27.8947,3.00,17.00
BTCUSDT,2024-2026,24,BUY,sl,-134.6521,-1.0000,2,0,4,2,0.005407,5.3667,0.0432,19.0365,1.00,18.00
BTCUSDT,2024-2026,26,BUY,time,92.3408,0.8558,0,0,5,0,0.008736,4.3885,1.1523,18.6197,37.00,55.00
BTCUSDT,2024-2026,27,SELL,sl,-140.1787,-1.0000,1,1,1,1,0.003852,5.4371,1.5782,14.8239,6.00,40.00
BTCUSDT,2024-2026,28,BUY,sl,-135.7345,-1.0000,2,1,1,1,0.004434,5.7330,0.7374,11.2169,17.00,27.00
BTCUSDT,2024-2026,30,SELL,time,-82.2254,-0.6023,3,1,1,1,0.006502,3.3982,0.0750,11.7582,33.00,88.00
BTCUSDT,2024-2026,31,BUY,time,-87.8874,-0.5703,4,1,1,1,0.003527,4.4696,1.1031,16.2552,23.00,1.00
BTCUSDT,2024-2026,32,SELL,sl,-136.0823,-1.0000,5,1,1,1,0.003629,3.6496,0.1594,18.0683,5.00,16.00
BTCUSDT,2024-2026,33,BUY,time,2305.1319,20.4430,0,0,1,0,0.005024,3.9823,3.3293,25.5261,74.00,2.00
BTCUSDT,2024-2026,34,BUY,sl,-154.2431,-1.0000,1,1,2,1,0.005143,4.0845,0.6342,17.5672,7.00,71.00
BTCUSDT,2024-2026,35,BUY,sl,-145.1653,-1.0000,2,1,3,2,0.008853,5.1597,1.6294,47.6144,32.00,9.00
BTCUSDT,2024-2026,36,SELL,sl,-137.3699,-1.0000,3,1,1,1,0.024119,3.8006,1.3230,37.5261,1.00,3.00
BTCUSDT,2024-2026,38,BUY,sl,-152.5556,-1.0000,4,1,1,1,0.004308,4.5311,0.6281,20.7620,9.00,104.00
BTCUSDT,2024-2026,39,BUY,time,-78.2907,-0.5266,5,1,2,2,0.009138,4.4109,1.7448,31.2296,33.00,18.00
BTCUSDT,2024-2026,40,BUY,sl,-137.9998,-1.0000,6,1,3,3,0.010554,5.8854,0.3242,21.9681,4.00,16.00
BTCUSDT,2024-2026,41,SELL,sl,-138.4026,-1.0000,7,1,1,1,0.008690,4.1614,0.6026,18.8079,8.00,27.00
BTCUSDT,2024-2026,42,SELL,time,-92.3671,-0.6511,8,1,2,2,0.008850,5.9483,0.1526,22.9696,20.00,43.00
BTCUSDT,2024-2026,43,SELL,time,41.9540,0.3913,0,0,3,0,0.011297,3.2138,0.9592,16.6774,41.00,35.00
BTCUSDT,2024-2026,44,BUY,time,-9.3207,-0.0350,1,0,1,1,0.017237,4.3926,0.0251,19.3763,22.00,1.00
BTCUSDT,2024-2026,45,SELL,time,-49.1446,-0.3269,2,0,1,1,0.010844,4.5432,0.4237,21.1120,20.00,18.00
BTCUSDT,2024-2026,46,BUY,sl,-134.6509,-1.0000,3,0,1,1,0.009651,5.2709,0.0968,17.6896,3.00,9.00
BTCUSDT,2024-2026,47,BUY,time,635.7251,5.1876,0,0,2,0,0.007806,4.4024,0.2243,16.6442,105.00,25.00
BTCUSDT,2024-2026,48,SELL,sl,-145.4261,-1.0000,1,0,1,1,0.006091,4.7134,0.9161,17.6806,6.00,10.00
BTCUSDT,2024-2026,49,BUY,sl,-156.1357,-1.0000,2,0,1,1,0.003243,3.4239,0.1076,12.2067,23.00,32.00
BTCUSDT,2024-2026,50,SELL,sl,-139.9048,-1.0000,3,0,1,1,0.007210,5.5991,0.7608,35.1552,2.00,11.00
BTCUSDT,2024-2026,51,SELL,time,78.5401,0.6883,0,0,2,0,0.009768,5.0476,1.6303,30.0246,26.00,9.00
BTCUSDT,2024-2026,52,BUY,sl,-140.2858,-1.0000,1,0,1,1,0.006554,4.1734,0.7682,19.8067,15.00,33.00
BTCUSDT,2024-2026,53,BUY,time,443.9468,3.6740,0,0,2,0,0.004493,3.7651,1.8435,24.9938,56.00,42.00
BTCUSDT,2024-2026,54,SELL,time,-119.1949,-0.8338,1,0,1,1,0.008366,5.5518,0.3762,28.0356,29.00,8.00
BTCUSDT,2024-2026,55,BUY,sl,-139.2556,-1.0000,2,0,1,1,0.008543,4.3450,0.6506,27.9576,15.00,3.00
BTCUSDT,2024-2026,56,SELL,time,778.7052,6.1970,0,0,1,0,0.006119,3.9852,0.7012,19.1472,56.00,25.00
BTCUSDT,2024-2026,57,BUY,sl,-143.2206,-1.0000,1,0,1,1,0.011806,4.7579,0.7598,24.1907,7.00,8.00
BTCUSDT,2024-2026,58,SELL,sl,-142.8046,-1.0000,2,0,1,1,0.010476,4.5158,0.4990,22.3498,20.00,49.00
BTCUSDT,2024-2026,59,BUY,sl,-140.8982,-1.0000,3,0,1,1,0.010801,5.6722,0.3318,23.1232,2.00,4.00
BTCUSDT,2024-2026,60,BUY,sl,-136.7327,-1.0000,4,0,2,2,0.016105,4.3402,0.4874,21.6391,16.00,14.00
BTCUSDT,2024-2026,61,BUY,time,54.0398,0.5116,0,0,3,0,0.006972,3.1831,0.0173,16.5583,58.00,53.00
BTCUSDT,2024-2026,62,SELL,time,106.0174,0.9254,0,0,1,0,0.005862,3.5672,1.3884,13.9327,27.00,1.00
BTCUSDT,2024-2026,63,SELL,time,-54.7268,-0.3274,1,0,2,1,0.007549,4.1944,0.2422,13.6486,17.00,31.00
BTCUSDT,2024-2026,64,SELL,sl,-148.2543,-1.0000,2,0,3,2,0.005096,4.9722,0.2337,21.0045,14.00,33.00
BTCUSDT,2024-2026,66,SELL,time,146.2320,1.1992,0,0,4,0,0.009436,5.0998,0.1332,22.1354,75.00,17.00
BTCUSDT,2024-2026,67,BUY,time,281.5221,2.2226,0,0,1,0,0.009258,5.6349,1.5945,23.8965,71.00,1.00
BTCUSDT,2024-2026,68,SELL,sl,-145.3210,-1.0000,1,0,1,1,0.007778,4.3810,0.1461,27.1342,17.00,2.00
BTCUSDT,2024-2026,69,SELL,time,16.3224,0.2079,0,0,2,0,0.007874,3.5106,0.7906,22.4366,40.00,16.00
BTCUSDT,2024-2026,70,BUY,sl,-143.7857,-1.0000,1,0,1,1,0.007780,4.4539,0.9300,30.5341,15.00,7.00
BTCUSDT,2024-2026,71,BUY,sl,-145.3475,-1.0000,2,0,2,2,0.006087,3.3680,1.1764,15.0840,22.00,66.00
BTCUSDT,2024-2026,72,BUY,time,374.8473,2.9975,0,0,3,0,0.006422,4.5342,1.8514,33.1795,26.00,31.00
BTCUSDT,2024-2026,73,BUY,time,-46.3592,-0.2379,1,0,4,1,0.006068,5.3014,0.1348,39.9071,50.00,24.00
BTCUSDT,2024-2026,74,SELL,sl,-151.1743,-1.0000,2,0,1,1,0.004863,3.6701,1.5176,18.1550,5.00,3.00
BTCUSDT,2024-2026,75,BUY,time,333.7897,2.6525,0,0,1,0,0.006033,4.4790,1.1911,16.7648,23.00,16.00
BTCUSDT,2024-2026,76,SELL,time,-66.1002,-0.3973,1,1,1,1,0.007159,3.7442,1.6548,13.6899,26.00,46.00
BTCUSDT,2024-2026,77,BUY,sl,-154.6620,-1.0000,2,1,1,1,0.004323,8.8337,0.4600,17.9934,2.00,19.00
BTCUSDT,2024-2026,78,SELL,sl,-155.0138,-1.0000,3,1,1,1,0.003937,3.3127,0.5582,18.4005,3.00,33.00
BTCUSDT,2024-2026,79,BUY,sl,-146.9419,-1.0000,4,1,1,1,0.005440,3.5835,2.2824,18.9016,3.00,15.00
BTCUSDT,2024-2026,80,SELL,sl,-141.1436,-1.0000,5,1,1,1,0.007449,5.0492,0.1533,19.6722,6.00,9.00
BTCUSDT,2024-2026,81,BUY,sl,-142.6920,-1.0000,6,1,1,1,0.005818,3.5311,0.2245,16.4970,19.00,52.00
BTCUSDT,2024-2026,82,SELL,sl,-143.0192,-1.0000,7,1,1,1,0.005179,6.4223,0.1404,12.5597,3.00,7.00
BTCUSDT,2024-2026,83,SELL,sl,-161.4882,-1.0000,8,1,2,2,0.002306,2.2723,0.1717,11.1269,1.00,39.00
BTCUSDT,2024-2026,84,BUY,time,481.1116,4.0321,0,0,1,0,0.004838,3.6302,0.0483,16.5845,90.00,15.00
BTCUSDT,2024-2026,85,SELL,time,4.6051,0.1557,0,0,1,0,0.005559,4.8435,0.8094,18.3139,43.00,22.00
BTCUSDT,2024-2026,87,SELL,time,237.8605,1.9936,0,0,2,0,0.004723,3.1537,1.3811,20.0553,32.00,37.00
BTCUSDT,2024-2026,88,BUY,sl,-145.7933,-1.0000,1,1,1,1,0.005752,5.0342,3.2098,30.3883,5.00,3.00
BTCUSDT,2024-2026,89,SELL,sl,-139.9462,-1.0000,2,1,1,1,0.008107,5.6212,0.9278,25.2352,20.00,22.00
BTCUSDT,2024-2026,90,SELL,sl,-142.6745,-1.0000,3,1,2,2,0.005776,5.8272,2.5414,19.5588,3.00,5.00
BTCUSDT,2024-2026,92,SELL,sl,-146.4585,-1.0000,4,1,3,3,0.004178,3.8565,0.7924,21.1975,7.00,62.00
BTCUSDT,2024-2026,93,BUY,sl,-137.2537,-1.0000,5,1,1,1,0.006640,4.1942,0.2307,27.0942,1.00,2.00
BTCUSDT,2024-2026,94,BUY,sl,-142.6635,-1.0000,6,1,2,2,0.004261,3.7831,0.4679,20.7341,5.00,60.00
BTCUSDT,2024-2026,95,SELL,time,-7.8271,0.0548,7,1,1,1,0.005602,5.3234,0.1467,20.5520,45.00,15.00
BTCUSDT,2024-2026,96,SELL,time,1973.2820,16.6174,0,0,2,0,0.001518,3.4115,0.2301,13.5911,48.00,14.00
BTCUSDT,2024-2026,97,BUY,sl,-153.1760,-1.0000,1,0,1,1,0.008137,7.3784,0.0496,27.3842,13.00,4.00
BTCUSDT,2024-2026,98,BUY,sl,-158.2411,-1.0000,2,0,2,2,0.005132,4.3169,0.0314,17.7321,5.00,30.00
BTCUSDT,2024-2026,99,SELL,sl,-152.2663,-1.0000,3,0,1,1,0.006756,4.2815,1.2955,22.4380,4.00,25.00
BTCUSDT,2024-2026,100,BUY,time,506.1942,3.9153,0,0,1,0,0.003050,2.7738,1.6202,17.9679,48.00,32.00
BTCUSDT,2024-2026,101,SELL,time,1410.4627,10.0553,0,0,1,0,0.005042,4.6697,1.1696,21.4472,97.00,7.00
BTCUSDT,2024-2026,102,BUY,sl,-171.7964,-1.0000,1,0,1,1,0.006630,7.9020,1.0728,17.7957,14.00,1.00
BTCUSDT,2024-2026,103,SELL,sl,-168.3730,-1.0000,2,0,1,1,0.007439,5.4509,0.8476,24.3880,8.00,17.00
BTCUSDT,2024-2026,104,BUY,sl,-164.7329,-1.0000,3,0,1,1,0.008460,3.9966,2.0942,22.7956,4.00,45.00
BTCUSDT,2024-2026,105,SELL,sl,-162.3492,-1.0000,4,0,1,1,0.009035,5.0529,0.1943,12.2423,11.00,41.00
BTCUSDT,2024-2026,106,BUY,time,1571.4378,10.6287,0,0,1,0,0.005948,5.1864,0.4337,14.7659,103.00,21.00
BTCUSDT,2024-2026,107,SELL,sl,-181.3212,-1.0000,1,0,1,1,0.006873,4.1194,0.3730,13.7631,11.00,23.00
BTCUSDT,2024-2026,108,BUY,time,378.8101,2.4195,0,0,1,0,0.006667,4.3124,0.0567,21.8582,73.00,11.00
BTCUSDT,2024-2026,109,SELL,sl,-182.6364,-1.0000,1,1,1,1,0.007255,3.9730,0.2739,17.3786,3.00,15.00
BTCUSDT,2024-2026,111,SELL,time,-135.5632,-0.7361,2,1,2,2,0.007962,4.3746,0.1983,22.2953,16.00,8.00
BTCUSDT,2024-2026,112,SELL,sl,-177.5468,-1.0000,3,1,3,3,0.008071,3.8257,1.2163,23.1349,18.00,17.00
BTCUSDT,2024-2026,113,BUY,time,-27.0704,-0.0876,4,1,1,1,0.008400,5.5306,0.7887,32.3651,86.00,7.00
BTCUSDT,2024-2026,114,SELL,sl,-177.2346,-1.0000,5,1,1,1,0.007065,9.0716,0.1118,40.0630,1.00,22.00
BTCUSDT,2024-2026,115,SELL,time,2017.3054,12.6832,0,0,2,0,0.007426,3.3954,0.0946,32.6067,125.00,28.00
BTCUSDT,2024-2026,116,BUY,sl,-188.1385,-1.0000,1,0,1,1,0.015120,8.2273,0.1980,20.5996,24.00,16.00
BTCUSDT,2024-2026,118,BUY,time,257.5429,1.4952,0,0,2,0,0.013219,5.0424,0.5601,23.5169,69.00,22.00
BTCUSDT,2024-2026,119,SELL,time,76.5621,0.5409,0,0,1,0,0.005649,4.9781,0.1176,20.1576,20.00,4.00
BTCUSDT,2024-2026,120,BUY,sl,-194.6393,-1.0000,1,1,1,1,0.009289,5.1243,0.7860,24.1404,2.00,29.00
BTCUSDT,2024-2026,121,SELL,sl,-192.0340,-1.0000,2,1,1,1,0.009822,5.8893,0.3993,27.7834,10.00,31.00
BTCUSDT,2024-2026,122,SELL,sl,-189.4248,-1.0000,3,1,2,2,0.010297,6.2076,0.8122,27.1393,6.00,8.00
BTCUSDT,2024-2026,124,SELL,sl,-196.7913,-1.0000,4,1,3,3,0.005604,3.5770,2.0960,25.3428,13.00,70.00
