symbol,window,trade_id,direction,outcome,net_pnl,realized_r,consec_loss,in_streak_ge_n,same_side_run,same_side_loss_run,atr_pct,channel_atr,breakout_atr,adx,bars_held,bars_since_prev_exit
ETHUSDT,2024-2026,1,BUY,sl,-112.8316,-1.0000,1,1,1,1,0.005175,5.1866,0.4617,16.7191,40.00,
ETHUSDT,2024-2026,2,SELL,time,-63.5827,-0.5892,2,1,1,1,0.012435,4.9102,1.6259,21.3966,26.00,2.00
ETHUSDT,2024-2026,3,SELL,sl,-109.4803,-1.0000,3,1,2,2,0.005850,2.8545,0.3556,12.7470,12.00,80.00
ETHUSDT,2024-2026,4,BUY,sl,-104.2503,-1.0000,4,1,1,1,0.009048,4.4710,0.3503,23.7181,23.00,2.00
ETHUSDT,2024-2026,5,BUY,sl,-100.8258,-1.0000,5,1,2,2,0.013416,4.5040,0.8362,30.2899,1.00,13.00
ETHUSDT,2024-2026,6,BUY,sl,-99.3747,-1.0000,6,1,3,3,0.014634,4.8948,0.7068,33.1010,2.00,8.00
ETHUSDT,2024-2026,7,BUY,time,111.4703,1.2243,0,0,4,0,0.017065,4.8859,0.4378,29.2201,54.00,4.00
ETHUSDT,2024-2026,8,SELL,sl,-99.0133,-1.0000,1,0,1,1,0.016906,5.1166,0.0611,25.6171,16.00,1.00
ETHUSDT,2024-2026,9,SELL,sl,-105.1325,-1.0000,2,0,2,2,0.005782,4.7476,1.4073,26.5728,1.00,29.00
ETHUSDT,2024-2026,11,BUY,time,-51.3571,-0.4586,3,0,1,1,0.007157,2.9353,0.3068,11.1603,17.00,43.00
ETHUSDT,2024-2026,12,SELL,time,-19.4853,-0.1035,4,0,1,1,0.006239,4.5720,0.9971,23.2765,18.00,32.00
ETHUSDT,2024-2026,14,SELL,time,1170.7947,12.8392,0,0,2,0,0.003900,3.1590,1.3403,19.8683,57.00,63.00
ETHUSDT,2024-2026,15,SELL,sl,-113.2232,-1.0000,1,0,3,1,0.007633,4.1005,0.4862,14.4744,2.00,29.00
ETHUSDT,2024-2026,16,BUY,time,21.0589,0.2993,0,0,1,0,0.007045,4.5083,0.7009,12.3660,55.00,18.00
ETHUSDT,2024-2026,17,SELL,sl,-114.3912,-1.0000,1,0,1,1,0.006151,3.6960,0.2243,22.0661,7.00,1.00
ETHUSDT,2024-2026,18,BUY,time,42.4835,0.5185,0,0,1,0,0.006547,4.1307,0.2325,20.5683,41.00,14.00
ETHUSDT,2024-2026,19,SELL,sl,-110.9697,-1.0000,1,1,1,1,0.008055,5.1628,0.7066,29.5163,2.00,1.00
ETHUSDT,2024-2026,20,SELL,time,-70.9832,-0.6221,2,1,2,2,0.008530,5.7204,0.0910,23.5187,17.00,9.00
ETHUSDT,2024-2026,21,BUY,sl,-112.5490,-1.0000,3,1,1,1,0.005600,3.2861,0.0898,12.3750,9.00,35.00
ETHUSDT,2024-2026,22,SELL,sl,-117.8604,-1.0000,4,1,1,1,0.003621,4.7055,0.4225,23.0869,2.00,20.00
ETHUSDT,2024-2026,24,BUY,sl,-109.6501,-1.0000,5,1,1,1,0.005714,3.4906,0.7604,22.8857,6.00,24.00
ETHUSDT,2024-2026,25,BUY,sl,-106.7984,-1.0000,6,1,2,2,0.006672,5.1525,0.8630,25.9822,14.00,29.00
ETHUSDT,2024-2026,26,BUY,time,358.6145,3.8562,0,0,3,0,0.005484,6.1212,0.4441,31.0570,66.00,7.00
ETHUSDT,2024-2026,27,BUY,sl,-113.5783,-1.0000,1,0,4,1,0.004756,3.7311,1.0450,20.4290,9.00,17.00
