date_utc,BTCUSDT,ETHUSDT,equal_weight
2020-01-01,1000.0000,1000.0000,1000.0000
2020-01-02,1000.0000,1000.0000,1000.0000
2020-01-03,990.0000,1000.0000,995.0000
2020-01-04,960.5960,990.0000,975.2980
2020-01-05,960.5960,990.0000,975.2980
2020-01-06,950.9900,990.0000,970.4950
2020-01-07,941.4801,990.0000,965.7401
2020-01-08,941.4801,1038.4344,989.9573
2020-01-09,988.4937,1028.0500,1008.2719
2020-01-10,978.6088,1017.7695,998.1892
2020-01-11,968.8227,1017.7695,993.2961
2020-01-12,959.1344,1017.7695,988.4520
2020-01-13,959.1344,1017.7695,988.4520
2020-01-14,959.1344,1031.7846,995.4595
2020-01-15,959.1344,1031.7846,995.4595
2020-01-16,959.1344,1031.7846,995.4595
2020-01-17,1010.9598,1117.1624,1064.0611
2020-01-18,1000.8502,1105.9907,1053.4205
2020-01-19,1000.8502,1094.9308,1047.8905
2020-01-20,990.8417,1094.9308,1042.8863
2020-01-21,990.8417,1094.9308,1042.8863
2020-01-22,987.7794,1094.9308,1041.3551
2020-01-23,987.7794,1094.9308,1041.3551
2020-01-24,987.7794,1094.9308,1041.3551
2020-01-25,1001.6949,1096.5389,1049.1169
2020-01-26,1001.6949,1096.5389,1049.1169
2020-01-27,1001.6949,1096.5389,1049.1169
2020-01-28,1001.6949,1096.5389,1049.1169
2020-01-29,1001.6949,1096.5389,1049.1169
2020-01-30,1001.6949,1148.7801,1075.2375
2020-01-31,1001.6949,1148.7801,1075.2375
2020-02-01,1001.6949,1137.2923,1069.4936
2020-02-02,1126.7785,1137.2923,1132.0354
2020-02-03,1115.5107,1137.2923,1126.4015
2020-02-04,1115.5107,1137.2923,1126.4015
2020-02-05,1115.5107,1135.6311,1125.5709
2020-02-06,1114.7464,1135.6311,1125.1888
2020-02-07,1114.7464,1135.6311,1125.1888
2020-02-08,1114.7464,1135.6311,1125.1888
2020-02-09,1164.3515,1235.7650,1200.0582
2020-02-10,1164.3515,1235.7650,1200.0582
2020-02-11,1152.7079,1223.4074,1188.0577
2020-02-12,1152.7079,1223.4074,1188.0577
2020-02-13,1152.7079,1223.4074,1188.0577
