date_utc,BTCUSDT,ETHUSDT,equal_weight
2025-01-01,1000.0000,1000.0000,1000.0000
2025-01-02,1000.0000,1000.0000,1000.0000
2025-01-03,1000.0000,1000.0000,1000.0000
2025-01-04,1007.6901,1000.0000,1003.8451
2025-01-05,1003.6662,1000.0000,1001.8331
2025-01-06,1003.6662,1000.0000,1001.8331
2025-01-07,988.6112,1000.0000,994.3056
2025-01-08,999.4004,1124.7692,1062.0848
2025-01-09,999.4004,1124.7692,1062.0848
2025-01-10,999.4004,1124.7692,1062.0848
2025-01-11,1030.1886,1239.0525,1134.6206
2025-01-12,1030.1886,1239.0525,1134.6206
2025-01-13,1014.7358,1239.0525,1126.8942
2025-01-14,999.5148,1239.0525,1119.2836
2025-01-15,999.5148,1242.3204,1120.9176
2025-01-16,999.5148,1242.3204,1120.9176
2025-01-17,1023.1856,1249.7443,1136.4649
2025-01-18,1023.1856,1249.7443,1136.4649
2025-01-19,1023.1856,1241.6974,1132.4415
2025-01-20,1044.1644,1186.6549,1115.4097
2025-01-21,1028.5020,1186.6549,1107.5785
2025-01-22,1028.5020,1186.6549,1107.5785
2025-01-23,1028.5020,1186.6549,1107.5785
2025-01-24,1013.0744,1175.7620,1094.4182
2025-01-25,1013.0744,1177.7106,1095.3925
2025-01-26,1013.0744,1177.7106,1095.3925
2025-01-27,1013.0744,1160.0450,1086.5597
2025-01-28,1013.0744,1241.4040,1127.2392
2025-01-29,1062.7476,1241.4040,1152.0758
2025-01-30,1062.7476,1241.4040,1152.0758
2025-01-31,1062.7476,1241.4040,1152.0758
2025-02-01,1064.9235,1241.4040,1153.1637
2025-02-02,1064.9235,1262.4318,1163.6776
2025-02-03,1064.9235,1262.4318,1163.6776
2025-02-04,1124.8404,1452.5917,1288.7161
2025-02-05,1107.9678,1452.5917,1280.2798
2025-02-06,1107.9678,1452.5917,1280.2798
2025-02-07,1107.9678,1430.8028,1269.3853
2025-02-08,1107.9678,1388.2007,1248.0843
2025-02-09,1107.9678,1388.2007,1248.0843
2025-02-10,1091.3483,1367.3777,1229.3630
2025-02-11,1091.3483,1367.3777,1229.3630
2025-02-12,1078.7482,1352.4686,1215.6084
2025-02-13,1062.5670,1332.1816,1197.3743
2025-02-14,1062.5670,1312.1989,1187.3829
2025-02-15,1046.6285,1292.5159,1169.5722
2025-02-16,1046.6285,1292.5159,1169.5722
2025-02-17,1046.6285,1292.5159,1169.5722
2025-02-18,1046.6285,1273.1282,1159.8783
2025-02-19,1046.6285,1273.1282,1159.8783
2025-02-20,1092.0835,1254.0312,1173.0574
2025-02-21,1092.0835,1235.2208,1163.6522
2025-02-22,1088.3311,1216.6925,1152.5118
2025-02-23,1083.1615,1202.5986,1142.8801
2025-02-24,1066.9141,1184.5596,1125.7368
2025-02-25,1066.9141,1184.5596,1125.7368
2025-02-26,1066.9141,1184.5596,1125.7368
2025-02-27,1066.9141,1184.5596,1125.7368
2025-02-28,1241.5741,1184.5596,1213.0669
