window,tf,bar_seconds,N,M,atr_mult,return,max_dd,n_trades,net_wr,sum_r,pf,fees,calmar,final_balance
2021-2023,1d,86400,10,5,1.5,0.206788,-0.064594,46,0.302326,21.3270,1.743330,75.51,3.201340,12067.88
2021-2023,1d,86400,10,5,2.0,0.089644,-0.070987,46,0.302326,10.1986,1.356318,54.56,1.262815,10896.44
2021-2023,1d,86400,10,5,2.5,0.051911,-0.065492,44,0.302326,6.2061,1.236220,44.42,0.792629,10519.11
2021-2023,1d,86400,10,5,3.0,0.026808,-0.065615,43,0.302326,3.5191,1.135185,36.78,0.408564,10268.08
2021-2023,1d,86400,15,5,1.5,0.175815,-0.046047,42,0.333333,18.1581,1.729441,72.07,3.818191,11758.15
2021-2023,1d,86400,15,5,2.0,0.083306,-0.045666,41,0.333333,9.2770,1.380296,51.95,1.824266,10833.06
2021-2023,1d,86400,15,5,2.5,0.035094,-0.047712,41,0.325000,4.3838,1.173049,42.19,0.735533,10350.94
2021-2023,1d,86400,15,5,3.0,0.002288,-0.057511,41,0.317073,0.9655,1.011818,35.67,0.039783,10022.88
2021-2023,1d,86400,15,10,1.5,0.310913,-0.049982,35,0.375000,29.4910,2.451138,67.72,6.220544,13109.13
2021-2023,1d,86400,15,10,2.0,0.185121,-0.044873,34,0.375000,18.4987,1.962416,47.96,4.125470,11851.21
2021-2023,1d,86400,15,10,2.5,0.116488,-0.045205,34,0.363636,12.0928,1.653669,38.68,2.576900,11164.88
2021-2023,1d,86400,15,10,3.0,0.080166,-0.050058,33,0.363636,8.5244,1.492299,32.04,1.601463,10801.66
2021-2023,1d,86400,20,5,1.5,0.201797,-0.034594,37,0.393939,20.1767,2.063574,62.75,5.833220,12017.97
2021-2023,1d,86400,20,5,2.0,0.126603,-0.031673,36,0.406250,13.0773,1.770518,44.61,3.997155,11266.03
2021-2023,1d,86400,20,5,2.5,0.075676,-0.029853,35,0.393939,8.1322,1.494205,36.69,2.534932,10756.76
2021-2023,1d,86400,20,5,3.0,0.034916,-0.044036,35,0.371429,4.0907,1.228591,31.45,0.792894,10349.16
2021-2023,1d,86400,20,10,1.5,0.308115,-0.034349,32,0.428571,29.0415,2.757867,59.61,8.970246,13081.15
2021-2023,1d,86400,20,10,2.0,0.205728,-0.034042,31,0.444444,20.0712,2.375554,41.53,6.043383,12057.28
2021-2023,1d,86400,20,10,2.5,0.137682,-0.036354,30,0.428571,13.8590,1.982975,33.98,3.787231,11376.82
2021-2023,1d,86400,20,10,3.0,0.084286,-0.045201,30,0.400000,8.8310,1.591467,29.06,1.864693,10842.86
2021-2023,1d,86400,20,15,1.5,0.284072,-0.029032,29,0.440000,27.0450,2.808264,53.96,9.784798,12840.72
2021-2023,1d,86400,20,15,2.0,0.212677,-0.034042,27,0.478261,20.5564,2.678713,37.36,6.247522,12126.77
2021-2023,1d,86400,20,15,2.5,0.145475,-0.031947,24,0.454545,14.4336,2.332854,26.91,4.553634,11454.75
2021-2023,1d,86400,20,15,3.0,0.091869,-0.038117,24,0.416667,9.4427,1.791710,23.37,2.410188,10918.69
2021-2023,1d,86400,30,5,1.5,0.083922,-0.044945,33,0.400000,9.1371,1.514663,54.63,1.867230,10839.22
2021-2023,1d,86400,30,5,2.0,0.031152,-0.043254,33,0.400000,3.8079,1.208334,39.98,0.720213,10311.52
2021-2023,1d,86400,30,5,2.5,0.003570,-0.043872,32,0.387097,0.9167,1.025688,33.19,0.081367,10035.70
2021-2023,1d,86400,30,5,3.0,-0.011987,-0.049554,32,0.375000,-0.7556,0.908674,28.06,-0.241896,9880.13
2021-2023,1d,86400,30,10,1.5,0.199861,-0.056481,28,0.400000,19.7384,2.275874,52.02,3.538526,11998.61
2021-2023,1d,86400,30,10,2.0,0.114563,-0.054617,28,0.400000,11.8243,1.792786,37.23,2.097556,11145.63
2021-2023,1d,86400,30,10,2.5,0.070313,-0.052820,27,0.384615,7.4992,1.525621,30.74,1.331165,10703.13
2021-2023,1d,86400,30,10,3.0,0.042435,-0.051396,27,0.370370,4.7013,1.337452,25.81,0.825640,10424.35
2021-2023,1d,86400,30,15,1.5,0.183921,-0.056481,25,0.409091,18.2739,2.365571,46.70,3.256316,11839.21
2021-2023,1d,86400,30,15,2.0,0.129267,-0.054617,24,0.428571,13.0506,2.118280,33.29,2.366770,11292.67
2021-2023,1d,86400,30,15,2.5,0.096493,-0.041938,21,0.450000,9.8183,1.996782,24.30,2.300836,10964.93
2021-2023,1d,86400,30,15,3.0,0.066437,-0.038255,21,0.428571,6.8987,1.715804,20.55,1.736686,10664.37
2021-2023,1d,86400,30,20,1.5,0.156287,-0.065102,22,0.400000,15.7023,2.185218,42.23,2.400654,11562.87
2021-2023,1d,86400,30,20,2.0,0.109727,-0.060791,21,0.421053,11.1739,1.971626,30.21,1.804978,11097.27
2021-2023,1d,86400,30,20,2.5,0.082462,-0.046989,19,0.444444,8.4439,1.881764,21.82,1.754927,10824.62
2021-2023,1d,86400,30,20,3.0,0.061301,-0.044122,18,0.444444,6.3363,1.728258,17.12,1.389351,10613.01
2021-2023,1d,86400,55,5,1.5,0.106626,-0.045484,26,0.434783,11.0134,1.921043,38.85,2.344264,11066.26
2021-2023,1d,86400,55,5,2.0,0.056185,-0.048532,26,0.434783,6.0604,1.523454,28.59,1.157689,10561.85
2021-2023,1d,86400,55,5,2.5,0.028100,-0.046787,25,0.416667,3.2154,1.275723,24.32,0.600598,10281.00
2021-2023,1d,86400,55,5,3.0,0.012293,-0.042017,25,0.400000,1.5752,1.128496,20.77,0.292559,10122.93
2021-2023,1d,86400,55,10,1.5,0.197758,-0.036879,23,0.400000,19.3770,2.938387,38.22,5.362285,11977.58
2021-2023,1d,86400,55,10,2.0,0.124231,-0.035088,23,0.400000,12.5533,2.306582,27.65,3.540541,11242.31
2021-2023,1d,86400,55,10,2.5,0.093793,-0.036168,21,0.400000,9.5547,2.142577,22.91,2.593246,10937.93
2021-2023,1d,86400,55,10,3.0,0.065855,-0.031809,21,0.380952,6.8294,1.831288,19.44,2.070299,10658.55
2021-2023,1d,86400,55,15,1.5,0.202322,-0.036879,21,0.444444,19.6742,3.152710,35.21,5.486037,12023.22
2021-2023,1d,86400,55,15,2.0,0.129945,-0.035088,21,0.444444,13.0057,2.495092,25.49,3.703391,11299.45
2021-2023,1d,86400,55,15,2.5,0.101855,-0.032161,18,0.470588,10.2352,2.442536,19.61,3.167039,11018.55
2021-2023,1d,86400,55,15,3.0,0.074347,-0.028456,18,0.444444,7.5795,2.094013,16.75,2.612654,10743.47
2021-2023,1d,86400,55,20,1.5,0.173170,-0.045679,18,0.437500,16.9834,2.888939,30.94,3.791020,11731.70
2021-2023,1d,86400,55,20,2.0,0.112120,-0.041390,18,0.437500,11.2696,2.362421,22.54,2.708887,11121.20
2021-2023,1d,86400,55,20,2.5,0.089886,-0.037263,16,0.466667,9.0463,2.381149,17.19,2.412181,10898.86
2021-2023,1d,86400,55,20,3.0,0.060042,-0.034383,16,0.437500,6.1716,1.887831,14.75,1.746270,10600.42
2021-2023,4h,14400,10,5,1.5,0.654536,-0.205590,300,0.318339,74.9077,1.324828,1624.10,3.183690,16545.36
2021-2023,4h,14400,10,5,2.0,0.309755,-0.179551,290,0.322807,43.5611,1.210557,1019.50,1.725168,13097.55
2021-2023,4h,14400,10,5,2.5,0.237603,-0.156575,280,0.330935,33.2667,1.201620,773.02,1.517508,12376.03
2021-2023,4h,14400,10,5,3.0,0.182349,-0.131652,278,0.335740,26.1335,1.183497,634.77,1.385089,11823.49
2021-2023,4h,14400,15,5,1.5,0.909017,-0.141716,256,0.319838,87.9599,1.510954,1422.85,6.414372,19090.17
2021-2023,4h,14400,15,5,2.0,0.482735,-0.135299,250,0.325203,55.0126,1.364530,923.34,3.567903,14827.35
2021-2023,4h,14400,15,5,2.5,0.325187,-0.126352,244,0.330579,39.5287,1.306826,690.68,2.573664,13251.87
