symbol,year,partial,variant,return,max_dd,n,wr,pf,calmar,balance
BTCUSDT,2017,1,baseline,0.408460,-0.106120,60,0.316667,1.914150,3.849032,14084.60
BTCUSDT,2017,1,ls5_cond_brk2.0,0.410698,-0.105970,59,0.305085,1.920750,3.875603,14106.98
ETHUSDT,2017,1,baseline,0.176049,-0.109476,64,0.296875,1.387227,1.608103,11760.49
ETHUSDT,2017,1,ls5_cond_brk2.0,0.161492,-0.100353,63,0.301587,1.369162,1.609242,11614.92
BTCUSDT,2018,0,baseline,0.490443,-0.130348,179,0.268156,1.328296,3.762580,14904.43
BTCUSDT,2018,0,ls5_cond_brk2.0,0.535549,-0.128007,176,0.267045,1.353506,4.183746,15355.49
ETHUSDT,2018,0,baseline,2.067347,-0.104700,178,0.297753,2.054242,19.745496,30673.47
ETHUSDT,2018,0,ls5_cond_brk2.0,1.883162,-0.104700,174,0.298851,2.042272,17.986320,28831.62
BTCUSDT,2019,0,baseline,1.336051,-0.108280,146,0.287671,1.873510,12.338850,23360.51
BTCUSDT,2019,0,ls5_cond_brk2.0,1.273189,-0.131512,144,0.277778,1.850720,9.681148,22731.89
ETHUSDT,2019,0,baseline,0.154307,-0.206144,163,0.257669,1.122608,0.748542,11543.07
ETHUSDT,2019,0,ls5_cond_brk2.0,0.102123,-0.204650,161,0.254658,1.082362,0.499013,11021.23
