id,direction,signal_time,entry_time,exit_time,outcome,entry,stop,exit,risk,net_pnl,commission
1,SELL,2020-01-02 16:00,2020-01-02 17:00,2020-01-03 04:00,sl,127.60,128.99,128.99,1.39,-109.23,9.23
2,BUY,2020-01-03 08:00,2020-01-03 09:00,2020-01-07 13:00,time,132.20,130.38,141.12,1.82,476.48,7.41
3,BUY,2020-01-08 00:00,2020-01-08 01:00,2020-01-08 02:00,sl,147.47,145.03,145.03,2.44,-109.89,6.22
4,SELL,2020-01-09 16:00,2020-01-09 17:00,2020-01-09 19:00,sl,135.91,137.79,137.79,1.88,-110.03,7.45
5,BUY,2020-01-10 14:00,2020-01-10 15:00,2020-01-13 03:00,time,140.24,138.27,142.95,1.97,132.43,7.30
6,BUY,2020-01-14 01:00,2020-01-14 02:00,2020-01-16 02:00,time,147.40,145.82,160.47,1.58,840.61,10.02
7,BUY,2020-01-17 05:00,2020-01-17 06:00,2020-01-17 14:00,sl,169.99,166.49,166.49,3.50,-116.55,5.34
8,BUY,2020-01-18 14:00,2020-01-18 15:00,2020-01-18 16:00,sl,177.34,172.88,172.88,4.46,-114.36,4.32
9,SELL,2020-01-23 05:00,2020-01-23 06:00,2020-01-24 20:00,time,163.98,165.89,163.70,1.91,6.63,9.36
10,BUY,2020-01-26 16:00,2020-01-26 17:00,2020-01-30 00:00,time,164.74,162.86,173.68,1.88,509.29,9.83
11,BUY,2020-01-30 18:00,2020-01-30 19:00,2020-01-31 12:00,sl,181.10,178.09,178.09,3.01,-120.85,6.80
12,BUY,2020-02-02 06:00,2020-02-02 07:00,2020-02-04 10:00,time,186.04,183.37,185.65,2.67,-24.34,7.85
13,BUY,2020-02-05 10:00,2020-02-05 11:00,2020-02-08 03:00,time,195.20,192.77,216.60,2.43,983.31,9.55
14,BUY,2020-02-08 08:00,2020-02-08 09:00,2020-02-10 05:00,sl,225.11,220.63,220.63,4.48,-128.52,6.09
15,BUY,2020-02-11 15:00,2020-02-11 16:00,2020-02-15 16:00,time,228.82,225.17,274.05,3.65,1493.12,8.35
16,SELL,2020-02-15 16:00,2020-02-15 17:00,2020-02-17 17:00,time,267.03,274.09,260.85,7.06,114.07,5.09
17,BUY,2020-02-17 23:00,2020-02-18 00:00,2020-02-18 13:00,sl,267.90,258.83,258.83,9.07,-141.21,3.99
18,BUY,2020-02-18 15:00,2020-02-18 16:00,2020-02-19 21:00,sl,273.67,266.69,266.69,6.98,-141.06,5.25
19,SELL,2020-02-20 12:00,2020-02-20 13:00,2020-02-20 16:00,sl,250.47,259.64,259.64,9.17,-138.14,3.74
20,BUY,2020-02-21 12:00,2020-02-21 13:00,2020-02-21 20:00,sl,265.78,260.22,260.22,5.56,-139.30,6.29
21,BUY,2020-02-23 05:00,2020-02-23 06:00,2020-02-24 07:00,sl,268.78,265.14,265.14,3.64,-141.27,9.65
22,SELL,2020-02-25 14:00,2020-02-25 15:00,2020-02-27 17:00,time,253.72,259.58,236.44,5.86,378.20,5.44
23,SELL,2020-02-29 23:00,2020-03-01 00:00,2020-03-01 01:00,sl,217.29,222.04,222.04,4.75,-140.19,6.20
24,SELL,2020-03-01 18:00,2020-03-01 19:00,2020-03-01 22:00,sl,212.92,218.73,218.73,5.81,-137.52,4.93
25,BUY,2020-03-02 16:00,2020-03-02 17:00,2020-03-03 06:00,sl,231.79,227.19,227.19,4.60,-137.76,6.54
26,SELL,2020-03-03 16:00,2020-03-03 17:00,2020-03-04 01:00,sl,221.86,226.71,226.71,4.85,-135.84,6.00
27,BUY,2020-03-05 09:00,2020-03-05 10:00,2020-03-05 23:00,sl,231.41,228.33,228.33,3.08,-138.08,9.60
28,BUY,2020-03-06 23:00,2020-03-07 00:00,2020-03-07 17:00,sl,244.93,240.99,240.99,3.94,-134.94,7.84
29,SELL,2020-03-08 00:00,2020-03-08 01:00,2020-03-10 13:00,time,234.06,238.79,205.44,4.73,755.48,5.85
30,SELL,2020-03-11 14:00,2020-03-11 15:00,2020-03-15 22:00,time,193.88,197.66,132.91,3.78,2144.83,5.76
31,SELL,2020-03-16 05:00,2020-03-16 06:00,2020-03-19 00:00,time,116.66,122.26,118.11,5.60,-43.31,3.24
32,BUY,2020-03-19 09:00,2020-03-19 10:00,2020-03-20 19:00,time,123.94,120.61,130.70,3.33,307.51,5.90
33,BUY,2020-03-24 08:00,2020-03-24 09:00,2020-03-24 15:00,sl,139.79,134.95,134.95,4.84,-161.87,4.47
34,SELL,2020-03-27 23:00,2020-03-28 00:00,2020-03-28 21:00,time,131.33,133.78,130.77,2.45,27.28,8.33
35,SELL,2020-03-29 19:00,2020-03-29 20:00,2020-03-30 02:00,sl,125.01,126.90,126.90,1.89,-166.47,10.42
36,BUY,2020-03-30 11:00,2020-03-30 12:00,2020-03-31 03:00,sl,133.44,130.92,130.92,2.52,-162.48,8.10
37,SELL,2020-04-01 13:00,2020-04-01 14:00,2020-04-01 20:00,sl,130.75,132.42,132.42,1.67,-164.79,12.03
38,BUY,2020-04-01 23:00,2020-04-02 00:00,2020-04-07 21:00,time,135.65,133.61,163.63,2.04,2056.99,11.06
39,SELL,2020-04-10 03:00,2020-04-10 04:00,2020-04-12 15:00,time,163.37,166.69,160.28,3.32,151.44,8.37
40,BUY,2020-04-12 15:00,2020-04-12 16:00,2020-04-12 23:00,sl,161.98,159.66,159.66,2.32,-185.23,12.03
41,SELL,2020-04-13 00:00,2020-04-13 01:00,2020-04-13 21:00,sl,153.40,156.69,156.69,3.29,-179.42,8.08
42,BUY,2020-04-14 14:00,2020-04-14 15:00,2020-04-15 00:00,sl,159.02,156.32,156.32,2.70,-179.43,9.88
43,SELL,2020-04-15 23:00,2020-04-16 00:00,2020-04-16 06:00,sl,152.74,155.25,155.25,2.51,-178.05,10.30
44,BUY,2020-04-16 07:00,2020-04-16 08:00,2020-04-19 06:00,time,164.55,160.94,180.34,3.61,718.84,7.94
45,SELL,2020-04-20 19:00,2020-04-20 20:00,2020-04-20 22:00,sl,167.52,172.54,172.54,5.02,-179.02,5.86
46,BUY,2020-04-22 07:00,2020-04-22 08:00,2020-04-23 07:00,time,175.12,172.32,178.79,2.80,213.92,10.84
47,BUY,2020-04-23 14:00,2020-04-23 15:00,2020-04-23 23:00,sl,189.26,185.20,185.20,4.06,-181.52,8.00
48,BUY,2020-04-25 05:00,2020-04-25 06:00,2020-04-27 14:00,sl,194.36,191.41,191.41,2.95,-182.94,11.24
49,BUY,2020-04-29 06:00,2020-04-29 07:00,2020-04-30 10:00,time,205.47,202.75,206.23,2.72,34.63,12.87
