id,direction,signal_time,entry_time,exit_time,outcome,entry,stop,exit,risk,net_pnl,commission
1,SELL,2020-01-02 16:00,2020-01-02 17:00,2020-01-03 04:00,sl,127.60,128.99,128.99,1.39,-109.23,9.23
2,BUY,2020-01-03 08:00,2020-01-03 09:00,2020-01-07 13:00,time,132.20,130.38,141.12,1.82,238.24,3.71
3,BUY,2020-01-08 00:00,2020-01-08 01:00,2020-01-08 02:00,sl,147.47,145.03,145.03,2.44,-107.37,6.08
4,SELL,2020-01-09 16:00,2020-01-09 17:00,2020-01-09 19:00,sl,135.91,137.79,137.79,1.88,-53.75,3.64
5,BUY,2020-01-10 14:00,2020-01-10 15:00,2020-01-13 03:00,time,140.24,138.27,142.95,1.97,65.04,3.59
6,BUY,2020-01-14 01:00,2020-01-14 02:00,2020-01-16 02:00,time,147.40,145.82,160.47,1.58,820.42,9.78
7,BUY,2020-01-17 05:00,2020-01-17 06:00,2020-01-17 14:00,sl,169.99,166.49,166.49,3.50,-113.75,5.21
8,BUY,2020-01-18 14:00,2020-01-18 15:00,2020-01-18 16:00,sl,177.34,172.88,172.88,4.46,-55.81,2.11
9,SELL,2020-01-23 05:00,2020-01-23 06:00,2020-01-24 20:00,time,163.98,165.89,163.70,1.91,3.25,4.59
10,BUY,2020-01-26 16:00,2020-01-26 17:00,2020-01-30 00:00,time,164.74,162.86,173.68,1.88,499.51,9.64
11,BUY,2020-01-30 18:00,2020-01-30 19:00,2020-01-31 12:00,sl,181.10,178.09,178.09,3.01,-118.53,6.67
12,BUY,2020-02-02 06:00,2020-02-02 07:00,2020-02-04 10:00,time,186.04,183.37,185.65,2.67,-11.94,3.85
13,BUY,2020-02-05 10:00,2020-02-05 11:00,2020-02-08 03:00,time,195.20,192.77,216.60,2.43,482.74,4.69
14,BUY,2020-02-08 08:00,2020-02-08 09:00,2020-02-10 05:00,sl,225.11,220.63,220.63,4.48,-121.13,5.74
15,BUY,2020-02-11 15:00,2020-02-11 16:00,2020-02-15 16:00,time,228.82,225.17,274.05,3.65,703.59,3.93
16,SELL,2020-02-15 16:00,2020-02-15 17:00,2020-02-17 17:00,time,267.03,274.09,260.85,7.06,101.61,4.53
17,BUY,2020-02-17 23:00,2020-02-18 00:00,2020-02-18 13:00,sl,267.90,258.83,258.83,9.07,-125.78,3.55
18,BUY,2020-02-18 15:00,2020-02-18 16:00,2020-02-19 21:00,sl,273.67,266.69,266.69,6.98,-62.83,2.34
19,SELL,2020-02-20 12:00,2020-02-20 13:00,2020-02-20 16:00,sl,250.47,259.64,259.64,9.17,-61.85,1.67
20,BUY,2020-02-21 12:00,2020-02-21 13:00,2020-02-21 20:00,sl,265.78,260.22,260.22,5.56,-62.69,2.83
21,BUY,2020-02-23 05:00,2020-02-23 06:00,2020-02-24 07:00,sl,268.78,265.14,265.14,3.64,-63.91,4.37
22,SELL,2020-02-24 18:00,2020-02-24 19:00,2020-02-27 17:00,time,262.40,267.94,236.44,5.54,275.05,2.67
23,SELL,2020-02-29 23:00,2020-03-01 00:00,2020-03-01 01:00,sl,217.29,222.04,222.04,4.75,-126.82,5.61
24,SELL,2020-03-01 18:00,2020-03-01 19:00,2020-03-01 22:00,sl,212.92,218.73,218.73,5.81,-62.20,2.23
25,BUY,2020-03-02 16:00,2020-03-02 17:00,2020-03-03 06:00,sl,231.79,227.19,227.19,4.60,-62.63,2.98
26,SELL,2020-03-03 16:00,2020-03-03 17:00,2020-03-04 01:00,sl,221.86,226.71,226.71,4.85,-62.09,2.74
27,BUY,2020-03-05 09:00,2020-03-05 10:00,2020-03-05 23:00,sl,231.41,228.33,228.33,3.08,-63.44,4.41
28,BUY,2020-03-06 06:00,2020-03-06 07:00,2020-03-07 18:00,time,234.95,231.60,238.99,3.35,66.65,4.15
29,SELL,2020-03-08 00:00,2020-03-08 01:00,2020-03-10 13:00,time,234.06,238.79,205.44,4.73,709.54,5.49
30,SELL,2020-03-11 14:00,2020-03-11 15:00,2020-03-15 22:00,time,193.88,197.66,132.91,3.78,2014.41,5.41
31,SELL,2020-03-16 05:00,2020-03-16 06:00,2020-03-19 00:00,time,116.66,122.26,118.11,5.60,-40.68,3.05
32,BUY,2020-03-19 09:00,2020-03-19 10:00,2020-03-20 19:00,time,123.94,120.61,130.70,3.33,144.41,2.77
33,BUY,2020-03-24 08:00,2020-03-24 09:00,2020-03-24 15:00,sl,139.79,134.95,134.95,4.84,-150.54,4.16
34,SELL,2020-03-27 23:00,2020-03-28 00:00,2020-03-28 21:00,time,131.33,133.78,130.77,2.45,12.69,3.88
35,SELL,2020-03-29 19:00,2020-03-29 20:00,2020-03-30 02:00,sl,125.01,126.90,126.90,1.89,-154.69,9.69
36,BUY,2020-03-30 11:00,2020-03-30 12:00,2020-03-31 03:00,sl,133.44,130.92,130.92,2.52,-75.49,3.76
37,SELL,2020-04-01 13:00,2020-04-01 14:00,2020-04-01 20:00,sl,130.75,132.42,132.42,1.67,-76.97,5.62
38,BUY,2020-04-01 23:00,2020-04-02 00:00,2020-04-07 21:00,time,135.65,133.61,163.63,2.04,966.00,5.19
39,SELL,2020-04-10 03:00,2020-04-10 04:00,2020-04-12 15:00,time,163.37,166.69,160.28,3.32,133.72,7.39
40,BUY,2020-04-12 15:00,2020-04-12 16:00,2020-04-12 23:00,sl,161.98,159.66,159.66,2.32,-163.55,10.62
41,SELL,2020-04-13 00:00,2020-04-13 01:00,2020-04-13 21:00,sl,153.40,156.69,156.69,3.29,-79.21,3.57
42,BUY,2020-04-14 14:00,2020-04-14 15:00,2020-04-15 00:00,sl,159.02,156.32,156.32,2.70,-79.64,4.39
43,SELL,2020-04-15 23:00,2020-04-16 00:00,2020-04-16 06:00,sl,152.74,155.25,155.25,2.51,-79.45,4.59
44,BUY,2020-04-16 07:00,2020-04-16 08:00,2020-04-19 06:00,time,164.55,160.94,180.34,3.61,322.46,3.56
45,SELL,2020-04-20 19:00,2020-04-20 20:00,2020-04-20 22:00,sl,167.52,172.54,172.54,5.02,-157.28,5.15
46,BUY,2020-04-22 07:00,2020-04-22 08:00,2020-04-23 07:00,time,175.12,172.32,178.79,2.80,93.97,4.76
47,BUY,2020-04-23 14:00,2020-04-23 15:00,2020-04-23 23:00,sl,189.26,185.20,185.20,4.06,-158.49,6.99
48,BUY,2020-04-25 05:00,2020-04-25 06:00,2020-04-27 14:00,sl,194.36,191.41,191.41,2.95,-79.87,4.91
