symbol,variant,window,return,max_dd,n_taken,max_loss_streak,net_wr,sum_r,pf,fees,balance,calmar
BTCUSDT,baseline,2020-2023,9.341309,-0.278874,687,25,0.259098,353.2544,1.432700,32207.71,103413.09,33.496559
BTCUSDT,ls5_cond_brk2.0,2020-2023,11.279720,-0.259427,661,22,0.263238,366.1277,1.529641,31898.84,122797.20,43.479384
BTCUSDT,soft_adaptive,2020-2023,5.473635,-0.193949,687,25,0.259098,353.2544,1.568513,13795.17,64736.35,28.222083
BTCUSDT,streak_risk_3_5,2020-2023,4.415818,-0.265903,687,25,0.259098,353.2544,1.438444,13628.27,54158.18,16.606847
BTCUSDT,baseline,2024-2026,2.106646,-0.336352,536,12,0.268657,221.6567,1.273010,13766.91,31066.46,6.263223
BTCUSDT,ls5_cond_brk2.0,2024-2026,1.807624,-0.299519,518,15,0.270270,200.3035,1.227574,14396.38,28076.24,6.035096
BTCUSDT,soft_adaptive,2024-2026,1.261335,-0.228064,536,12,0.268657,221.6567,1.322848,6924.89,22613.35,5.530613
BTCUSDT,streak_risk_3_5,2024-2026,0.273042,-0.341911,536,12,0.268657,221.6567,1.081470,6075.89,12730.42,0.798575
ETHUSDT,baseline,2020-2023,7.281338,-0.301612,712,20,0.286517,307.9070,1.253928,34580.98,82813.38,24.141396
ETHUSDT,ls5_cond_brk2.0,2020-2023,7.926575,-0.257835,690,20,0.288406,312.9514,1.275869,34865.64,89265.75,30.742833
ETHUSDT,soft_adaptive,2020-2023,2.737650,-0.175424,712,20,0.286517,307.9070,1.276907,11248.08,37376.50,15.605922
ETHUSDT,streak_risk_3_5,2020-2023,2.423037,-0.246734,712,20,0.286517,307.9070,1.200969,13067.41,34230.37,9.820431
ETHUSDT,baseline,2024-2026,2.358155,-0.152896,514,14,0.287938,193.9160,1.376801,7831.68,33581.55,15.423290
ETHUSDT,ls5_cond_brk2.0,2024-2026,2.317483,-0.181353,500,13,0.286000,191.1064,1.384242,7576.96,33174.83,12.778884
ETHUSDT,soft_adaptive,2024-2026,1.272835,-0.109909,514,14,0.287938,193.9160,1.351944,4509.73,22728.35,11.580780
ETHUSDT,streak_risk_3_5,2024-2026,0.570745,-0.164516,514,14,0.287938,193.9160,1.142530,4926.26,15707.45,3.469246
